"Name","K","Kin","Kout","TypeI","TypeII"
"GTF2H1",40,36,4,0,1
"KAT2B",59,54,5,0,1
"MED1",53,47,6,0,1
"NFKB1",156,26,130,0,1
"NR5A1",7,5,2,0,1
"PIAS2",35,32,3,0,1
"RNF4",44,43,1,0,1
"RUNX1",540,86,454,0,1
"SMAD1",207,29,178,0,1
"SUMO1",70,66,4,0,1
"ARAF",14,12,2,0,1
"ARPC3",17,16,1,0,1
"PICK1",17,6,11,0,1
"ARRB2",32,24,8,0,1
"SMN1",39,15,24,0,1
"PIK3R1",133,86,47,0,1
"RASA1",64,45,19,0,1
"SMURF2",74,57,17,0,1
"ARHGAP8",4,3,1,0,1
"ARHGEF1",24,20,4,0,1
"ARHGEF11",18,16,2,0,1
"GNA12",27,21,6,0,1
"ARHGEF12",52,46,6,0,1
"CD44",26,23,3,0,1
"GNA13",69,56,13,0,1
"IGF1R",158,145,13,0,1
"RHOA",59,47,12,0,1
"ARHGEF6",25,19,6,0,1
"PAK1",16,15,1,0,1
"ARHGEF7",35,30,5,0,1
"CBLB",47,39,8,0,1
"ARIH2",37,36,1,0,1
"CCDC90B",15,13,2,0,1
"GAPDH",56,39,17,0,1
"RPL8",20,16,4,0,1
"UBR1",36,27,9,0,1
"ARL4D",28,27,1,0,1
"WAS",22,11,11,0,1
"CSK",30,22,8,0,1
"DVL2",29,20,9,0,1
"HIPK3",115,109,6,0,1
"MAPK1",195,167,28,0,1
"HCK",39,28,11,0,1
"SH3KBP1",44,39,5,0,1
"ASF1A",38,37,1,0,1
"ASGR1",17,15,2,0,1
"DHFR",9,8,1,0,1
"CREB1",438,81,357,0,1
"SMAD3",138,34,104,0,1
"CEBPG",34,31,3,0,1
"CDC34",27,25,2,0,1
"DISC1",32,31,1,0,1
"GTF2E2",14,11,3,0,1
"EIF4EBP1",48,44,4,0,1
"STK11",40,35,5,0,1
"TOPBP1",25,22,3,0,1
"WRN",36,33,3,0,1
"XRCC5",51,45,6,0,1
"ATN1",52,35,17,0,1
"RBPMS",30,28,2,0,1
"CSE1L",55,52,3,0,1
"RASSF1",18,13,5,0,1
"CDK4",74,60,14,0,1
"RPP14",57,55,2,0,1
"ATP5J2",9,7,2,0,1
"ATR",19,14,5,0,1
"ZNF512B",74,65,9,0,1
"ATXN1L",80,71,9,0,1
