"Name","K","Kin","Kout","TypeI","TypeII"
"C14orf1",32,24,8,0,1
"COPS6",59,38,21,0,1
"TGM2",24,13,11,0,1
"UNC119",62,31,31,0,1
"ANXA11",23,21,2,0,1
"EED",24,22,2,0,1
"CDK4",78,65,13,0,1
"AP1G1",38,36,2,0,1
"DVL2",21,10,11,0,1
"AP2A1",25,18,7,0,1
"AP2M1",26,22,4,0,1
"MEGF10",7,5,2,0,1
"AP3B1",32,28,4,0,1
"ARF1",37,26,11,0,1
"CLTC",79,63,16,0,1
"XPOT",45,42,3,0,1
"TGOLN2",48,44,4,0,1
"CASP3",93,48,45,0,1
"HSPA1A",42,29,13,0,1
"APP",70,43,27,0,1
"KCNJ12",23,21,2,0,1
"APLP2",15,14,1,0,1
"SIAH1",19,17,2,0,1
"HDAC1",63,52,11,0,1
"PCNA",80,69,11,0,1
"UBE2I",82,68,14,0,1
"LNX1",26,14,12,0,1
"NACA",9,8,1,0,1
"SETDB1",59,47,12,0,1
"APOA1",10,3,7,0,1
"TTR",9,6,3,0,1
"HSP90B1",47,43,4,0,1
"KPNA2",64,59,5,0,1
"LRP1",55,39,16,0,1
"COL4A2",30,24,6,0,1
"FLOT1",19,17,2,0,1
"HSPG2",34,28,6,0,1
"NID1",41,38,3,0,1
"PSEN2",16,8,8,0,1
"SHC1",73,46,27,0,1
"SNCA",30,15,15,0,1
"APPBP2",30,28,2,0,1
"PIK3CA",39,29,10,0,1
"APTX",19,16,3,0,1
"EFEMP2",24,16,8,0,1
"CDC37",43,36,7,0,1
"CDK7",14,12,2,0,1
"CREBBP",232,83,149,0,1
"FOXO1",191,45,146,0,1
"GTF2F2",14,10,4,0,1
"GTF2H1",22,15,7,0,1
"KAT2B",54,47,7,0,1
"MED1",38,33,5,0,1
"NCOA3",59,47,12,0,1
"NCOR1",70,35,35,0,1
"NCOR2",81,49,32,0,1
"NFKB1",122,32,90,0,1
"PQBP1",10,8,2,0,1
"RNF4",28,27,1,0,1
"SMAD1",102,23,79,0,1
"SMAD3",145,45,100,0,1
"TRIM24",32,24,8,0,1
"ARIH2",21,19,2,0,1
"ARPC3",12,9,3,0,1
"PICK1",19,6,13,0,1
"ARF6",15,6,9,0,1
"ITPR1",40,30,10,0,1
"PIK3R1",145,87,58,0,1
"PTPN11",80,40,40,0,1
"RASA1",70,44,26,0,1
