"Name","K","Kin","Kout","TypeI","TypeII","Type"
"CCDC90B",9,7,2,0,1,"coding"
"MED31",29,24,5,0,1,"coding"
"CTSG",19,9,10,0,1,"coding"
"ARRB2",33,18,15,0,1,"coding"
"HRAS",48,24,24,0,1,"coding"
"JAK2",65,29,36,0,1,"coding"
"PLCG1",75,41,34,0,1,"coding"
"ARNT",38,20,18,0,1,"coding"
"EP300",166,142,24,0,1,"coding"
"NCOA1",87,56,31,0,1,"coding"
"NCOA2",56,41,15,0,1,"coding"
"SMARCA4",39,24,15,0,1,"coding"
"PRKAR2A",36,30,6,0,1,"coding"
"AKAP10",27,22,5,0,1,"coding"
"PRKAR1A",48,30,18,0,1,"coding"
"GSK3B",118,75,43,0,1,"coding"
"YWHAB",91,66,25,0,1,"coding"
"IQGAP1",37,28,9,0,1,"coding"
"KPNB1",70,56,14,0,1,"coding"
"PRPF40A",60,44,16,0,1,"coding"
"AKAP9",36,32,4,0,1,"coding"
"AKT1",69,37,32,0,1,"coding"
"CHUK",47,31,16,0,1,"coding"
"HTT",56,41,15,0,1,"coding"
"MDM2",93,81,12,0,1,"coding"
"PTEN",72,67,5,0,1,"coding"
"RPS6KB1",30,24,6,0,1,"coding"
"BCL2A1",6,4,2,0,1,"coding"
"HSP90AA1",94,65,29,0,1,"coding"
"IGSF21",12,8,4,0,1,"coding"
"XRN1",37,31,6,0,1,"coding"
"JAK3",31,13,18,0,1,"coding"
"PTN",48,16,32,0,1,"coding"
"CRMP1",45,18,27,0,1,"coding"
"EGFR",140,84,56,0,1,"coding"
"AMOTL2",41,39,2,0,1,"coding"
"MAPK6",103,70,33,0,1,"coding"
"TEK",19,9,10,0,1,"coding"
"NFASC",12,9,3,0,1,"coding"
"ANK3",18,16,2,0,1,"coding"
"HDAC4",44,40,4,0,1,"coding"
"LRP2",28,14,14,0,1,"coding"
"SET",52,46,6,0,1,"coding"
"ANXA1",17,9,8,0,1,"coding"
"C14orf1",32,24,8,0,1,"coding"
"COPS6",59,38,21,0,1,"coding"
"TGM2",24,13,11,0,1,"coding"
"UNC119",62,31,31,0,1,"coding"
"ANXA11",23,21,2,0,1,"coding"
"EED",24,22,2,0,1,"coding"
"CDK4",78,65,13,0,1,"coding"
"AP1G1",38,36,2,0,1,"coding"
"DVL2",21,10,11,0,1,"coding"
"AP2A1",25,18,7,0,1,"coding"
"AP2M1",26,22,4,0,1,"coding"
"MEGF10",7,5,2,0,1,"coding"
"AP3B1",32,28,4,0,1,"coding"
"ARF1",37,26,11,0,1,"coding"
"CLTC",79,63,16,0,1,"coding"
"XPOT",45,42,3,0,1,"coding"
"TGOLN2",48,44,4,0,1,"coding"
"CASP3",93,48,45,0,1,"coding"
"HSPA1A",42,29,13,0,1,"coding"
"APP",70,43,27,0,1,"coding"
"KCNJ12",23,21,2,0,1,"coding"
"APLP2",15,14,1,0,1,"coding"
"SIAH1",19,17,2,0,1,"coding"
"HDAC1",63,52,11,0,1,"coding"
"PCNA",80,69,11,0,1,"coding"
"UBE2I",82,68,14,0,1,"coding"
"LNX1",26,14,12,0,1,"coding"
"NACA",9,8,1,0,1,"coding"
"SETDB1",59,47,12,0,1,"coding"
"APOA1",10,3,7,0,1,"coding"
"TTR",9,6,3,0,1,"coding"
"HSP90B1",47,43,4,0,1,"coding"
"KPNA2",64,59,5,0,1,"coding"
"LRP1",55,39,16,0,1,"coding"
"COL4A2",30,24,6,0,1,"coding"
"FLOT1",19,17,2,0,1,"coding"
"HSPG2",34,28,6,0,1,"coding"
"NID1",41,38,3,0,1,"coding"
"PSEN2",16,8,8,0,1,"coding"
"SHC1",73,46,27,0,1,"coding"
"SNCA",30,15,15,0,1,"coding"
"APPBP2",30,28,2,0,1,"coding"
"PIK3CA",39,29,10,0,1,"coding"
"APTX",19,16,3,0,1,"coding"
"EFEMP2",24,16,8,0,1,"coding"
"CDC37",43,36,7,0,1,"coding"
"CDK7",14,12,2,0,1,"coding"
"CREBBP",232,83,149,0,1,"coding"
"FOXO1",191,45,146,0,1,"coding"
"GTF2F2",14,10,4,0,1,"coding"
"GTF2H1",22,15,7,0,1,"coding"
"KAT2B",54,47,7,0,1,"coding"
"MED1",38,33,5,0,1,"coding"
"NCOA3",59,47,12,0,1,"coding"
"NCOR1",70,35,35,0,1,"coding"
"NCOR2",81,49,32,0,1,"coding"
"NFKB1",122,32,90,0,1,"coding"
"PQBP1",10,8,2,0,1,"coding"
"RNF4",28,27,1,0,1,"coding"
"SMAD1",102,23,79,0,1,"coding"
"SMAD3",145,45,100,0,1,"coding"
"TRIM24",32,24,8,0,1,"coding"
"ARIH2",21,19,2,0,1,"coding"
"ARPC3",12,9,3,0,1,"coding"
"PICK1",19,6,13,0,1,"coding"
"ARF6",15,6,9,0,1,"coding"
"ITPR1",40,30,10,0,1,"coding"
"PIK3R1",145,87,58,0,1,"coding"
"PTPN11",80,40,40,0,1,"coding"
"RASA1",70,44,26,0,1,"coding"
"RHOA",53,31,22,0,1,"coding"
"TUBA4A",24,12,12,0,1,"coding"
"WAS",27,14,13,0,1,"coding"
"RAC1",54,28,26,0,1,"coding"
"SMURF2",52,34,18,0,1,"coding"
"RBPMS",38,34,4,0,1,"coding"
"EZR",16,12,4,0,1,"coding"
"VAV1",42,29,13,0,1,"coding"
"ARHGEF11",9,5,4,0,1,"coding"
"GNA12",31,21,10,0,1,"coding"
"GNA13",48,34,14,0,1,"coding"
"ARHGEF12",41,35,6,0,1,"coding"
"CD44",27,12,15,0,1,"coding"
"IGF1R",119,101,18,0,1,"coding"
"ARHGEF7",19,12,7,0,1,"coding"
"CBLB",38,28,10,0,1,"coding"
"SMARCE1",15,10,5,0,1,"coding"
"E2F1",384,44,340,0,1,"coding"
"E2F2",78,64,14,0,1,"coding"
"HDAC2",50,44,6,0,1,"coding"
"SIN3A",57,51,6,0,1,"coding"
"UBE2L3",19,15,4,0,1,"coding"
"ARL15",19,13,6,0,1,"coding"
"GAPDH",69,48,21,0,1,"coding"
"RPL8",14,11,3,0,1,"coding"
"UBR1",32,19,13,0,1,"coding"
"TLE1",25,22,3,0,1,"coding"
"ATP5J2",13,10,3,0,1,"coding"
"PRMT1",30,18,12,0,1,"coding"
"RNF130",8,6,2,0,1,"coding"
"CSNK2A2",38,29,9,0,1,"coding"
"FLNA",69,51,18,0,1,"coding"
"HIPK3",65,59,6,0,1,"coding"
"MAPK1",133,103,30,0,1,"coding"
"MED8",34,28,6,0,1,"coding"
"HCK",51,34,17,0,1,"coding"
"SH3KBP1",47,42,5,0,1,"coding"
"SNRPB",36,33,3,0,1,"coding"
"MEF2A",37,23,14,0,1,"coding"
"ASF1A",26,25,1,0,1,"coding"
"H3F3A",12,11,1,0,1,"coding"
"ASGR1",14,11,3,0,1,"coding"
"ASIP",3,2,1,0,1,"coding"
"F11R",20,15,5,0,1,"coding"
"CREB1",182,52,130,0,1,"coding"
"GABPB1",43,37,6,0,1,"coding"
"SPI1",149,20,129,0,1,"coding"
"HIST2H2BE",16,13,3,0,1,"coding"
"HMGA1",61,51,10,0,1,"coding"
"BATF3",6,5,1,0,1,"coding"
"CEBPG",27,22,5,0,1,"coding"
"DDIT3",16,8,8,0,1,"coding"
"CDC34",17,16,1,0,1,"coding"
"POLR2D",48,45,3,0,1,"coding"
"TOPBP1",19,15,4,0,1,"coding"
"WRN",15,12,3,0,1,"coding"
"XRCC5",35,28,7,0,1,"coding"
"ATN1",55,31,24,0,1,"coding"
"EWSR1",51,25,26,0,1,"coding"
"TRIP6",25,17,8,0,1,"coding"
"BCL2",80,63,17,0,1,"coding"
"CSE1L",44,42,2,0,1,"coding"
"ATP5C1",23,19,4,0,1,"coding"
"PSME3",33,27,6,0,1,"coding"
"RPP14",20,18,2,0,1,"coding"
"ATR",15,9,6,0,1,"coding"
"EZH2",200,27,173,0,1,"coding"
"ZNF512B",43,33,10,0,1,"coding"
"DAZAP2",70,61,9,0,1,"coding"
"PSMC3",10,6,4,0,1,"coding"
"RAD23A",21,15,6,0,1,"coding"
"RNF11",73,53,20,0,1,"coding"
"NME1",21,16,5,0,1,"coding"
"PPP1CA",34,28,6,0,1,"coding"
"PPP1CC",36,33,3,0,1,"coding"
"GNAS",32,28,4,0,1,"coding"
"AXIN1",35,16,19,0,1,"coding"
"DAB2",46,38,8,0,1,"coding"
"DVL1",18,12,6,0,1,"coding"
"DVL3",33,29,4,0,1,"coding"
"JUP",24,18,6,0,1,"coding"
"PPP2CA",65,54,11,0,1,"coding"
"SH3GL1",25,17,8,0,1,"coding"
"UTP14A",21,15,6,0,1,"coding"
"AXL",42,29,13,0,1,"coding"
"CBL",94,61,33,0,1,"coding"
"IL2RG",13,8,5,0,1,"coding"
"PIK3R2",24,16,8,0,1,"coding"
"PIK3R3",26,21,5,0,1,"coding"
"B2M",23,20,3,0,1,"coding"
"HLA-A",21,14,7,0,1,"coding"
"PRSS23",24,18,6,0,1,"coding"
"PLSCR1",35,17,18,0,1,"coding"
"PSEN1",42,24,18,0,1,"coding"
"MAFK",111,29,82,0,1,"coding"
"MAPK8",58,51,7,0,1,"coding"
"PIM1",23,19,4,0,1,"coding"
"YWHAQ",76,62,14,0,1,"coding"
"KRTAP4-12",5,2,3,0,1,"coding"
"PHYHIP",34,25,9,0,1,"coding"
"SHANK1",13,3,10,0,1,"coding"
"STARD13",38,34,4,0,1,"coding"
"BAIAP2",15,10,5,0,1,"coding"
"NCKIPSD",26,23,3,0,1,"coding"
"BRD7",29,25,4,0,1,"coding"
"IKBKAP",21,18,3,0,1,"coding"
"CREB3L3",4,2,2,0,1,"coding"
"BID",40,32,8,0,1,"coding"
"MAP3K7",41,32,9,0,1,"coding"
"CASP1",21,10,11,0,1,"coding"
"CASP8",41,20,21,0,1,"coding"
"CD2AP",49,45,4,0,1,"coding"
"FAM46A",14,12,2,0,1,"coding"
"CDK2",85,76,9,0,1,"coding"
"CYCS",55,54,1,0,1,"coding"
"HRK",31,30,1,0,1,"coding"
"SF1",22,19,3,0,1,"coding"
"BCL3",27,10,17,0,1,"coding"
"NFKB2",40,12,28,0,1,"coding"
"IRF4",54,27,27,0,1,"coding"
"ERCC3",14,10,4,0,1,"coding"
"RBL1",50,46,4,0,1,"coding"
"BMP4",9,5,4,0,1,"coding"
"NEK9",56,55,1,0,1,"coding"
"DNM2",33,24,9,0,1,"coding"
"BIRC2",25,11,14,0,1,"coding"
"CASP7",24,19,5,0,1,"coding"
"DIABLO",20,16,4,0,1,"coding"
"UBB",38,23,15,0,1,"coding"
"BLK",5,2,3,0,1,"coding"
"FCGR2B",6,2,4,0,1,"coding"
"BLNK",19,12,7,0,1,"coding"
"NAP1L4",17,15,2,0,1,"coding"
"BMI1",31,28,3,0,1,"coding"
"CBX8",25,22,3,0,1,"coding"
"RING1",15,12,3,0,1,"coding"
