"","gene","p","fdr"
"FAM120C","FAM120C",1,1
"WNK3","WNK3",1,1
"ASCL3","ASCL3",1,1
"GNPTAB","GNPTAB",1,1
"GJB2","GJB2",1,1
"CILP","CILP",1,1
"ALG1","ALG1",1,1
"PSMD11","PSMD11",1,1
"NUP62","NUP62",1,1
"ZNF543","ZNF543",1,1
"SNAI1","SNAI1",1,1
"COL20A1","COL20A1",1,1
"ZBTB11","ZBTB11",1,1
"HNRPDL","HNRPDL",1,1
"FAF2","FAF2",1,1
"CNR1","CNR1",1,1
"IKZF1","IKZF1",1,1
"RANBP6","RANBP6",1,1
"MCTS1","MCTS1",1,1
"USH2A","USH2A",1,1
"GMEB1","GMEB1",1,1
"ACBD5","ACBD5",1,1
"ARHGAP42","ARHGAP42",1,1
"AHNAK","AHNAK",1.84595733445761e-08,4.0974099633844e-05
"ATG2A","ATG2A",1,1
"FAT3","FAT3",1,1
"HNRNPA1","HNRNPA1",0.00959511249228787,0.12614591283704
"ARL11","ARL11",1,1
"SHPK","SHPK",1,1
"LAMA3","LAMA3",1,1
"COPE","COPE",1,1
"LSR","LSR",0.0138131614362132,0.149807560266683
"TRAF3IP1","TRAF3IP1",1,1
"LARGE","LARGE",1,1
"YIPF7","YIPF7",1,1
"TG","TG",1,1
"SLITRK4","SLITRK4",1,1
"PJA1","PJA1",1,1
"TEX11","TEX11",1,1
"ACP6","ACP6",0.00542502173764275,0.105939060853264
"ATP1A4","ATP1A4",0.0016805222469714,0.0650616142010612
"GOLGA3","GOLGA3",6.65305587747182e-05,0.0130302056141426
"ESYT1","ESYT1",0.0383246861905675,0.256229001348382
"ZNF229","ZNF229",1,1
"ID2","ID2",1,1
"IKBKB","IKBKB",1,1
"WDR47","WDR47",0.00634576286014867,0.110042799181588
"NPR1","NPR1",1,1
"DNM3","DNM3",1,1
"PLCE1","PLCE1",1,1
"TICRR","TICRR",0.000852850275861989,0.0457994353787499
"PHKG2","PHKG2",1,1
"NCOR1","NCOR1",0.003915866520824,0.0889206971919284
"NEK8","NEK8",1,1
"CDC6","CDC6",1,1
"CABYR","CABYR",1,1
"EPS15L1","EPS15L1",1,1
"ZNF682","ZNF682",1,1
"ZNF677","ZNF677",1,1
"DZANK1","DZANK1",1,1
"ADAM33","ADAM33",1,1
"ELFN2","ELFN2",1,1
"DNAH5","DNAH5",0.0115371150200084,0.137714952008662
"DPCR1","DPCR1",1,1
"GRM8","GRM8",1,1
"XKR4","XKR4",0.0266415120199952,0.209147364915375
"HS6ST2","HS6ST2",1,1
"IQSEC2","IQSEC2",0.0213678050899158,0.185997665482025
"EPS8L3","EPS8L3",1,1
"VPS13D","VPS13D",1,1
"SETDB1","SETDB1",1.67848806359447e-05,0.00674327103808167
"DARS2","DARS2",1,1
"ZBTB41","ZBTB41",1,1
"SRSF4","SRSF4",1,1
"LRRC42","LRRC42",1,1
"SPAG6","SPAG6",1,1
"GPR158","GPR158",1,1
"PCDH15","PCDH15",1,1
"DLG5","DLG5",1,1
"TNKS1BP1","TNKS1BP1",3.47950766578851e-06,0.00289625519331071
"PPFIA1","PPFIA1",1,1
"HEPHL1","HEPHL1",1,1
"SBNO1","SBNO1",1,1
"EIF2B1","EIF2B1",1,1
"NCOR2","NCOR2",1,1
"KCNA5","KCNA5",1,1
"ZDHHC17","ZDHHC17",1,1
"A2ML1","A2ML1",1,1
"MYCBP2","MYCBP2",0.000249580607860308,0.0276992877956965
"SCG3","SCG3",1,1
"SNX1","SNX1",1,1
"STRA6","STRA6",1,1
"COMMD4","COMMD4",1,1
"CACNG3","CACNG3",1,1
"TUFM","TUFM",1,1
"CD19","CD19",1,1
"HSD17B2","HSD17B2",1,1
"DNAH9","DNAH9",1,1
"KRT36","KRT36",1,1
"SMG8","SMG8",1,1
"EVPL","EVPL",0.000110715817337245,0.0192589894382924
"CBX4","CBX4",1,1
"ASXL3","ASXL3",1,1
"ELP2","ELP2",1,1
"NARS","NARS",1,1
"KIRREL2","KIRREL2",1,1
"SIPA1L3","SIPA1L3",1,1
"HIPK4","HIPK4",1,1
"ZNF528","ZNF528",1,1
"TANC1","TANC1",1,1
"TTN","TTN",1.3503417244701e-10,4.4959627716232e-07
"FAM117B","FAM117B",1,1
"IKZF2","IKZF2",1,1
"RTN4","RTN4",0.0123274890184391,0.143003060423623
"CCDC104","CCDC104",1,1
"ARHGAP25","ARHGAP25",1,1
"DYSF","DYSF",1,1
"REEP1","REEP1",1,1
"CHD6","CHD6",0.0459184739469898,0.286302544955997
"ERG","ERG",1,1
"MYO18B","MYO18B",0.0337392733838696,0.239264985583799
"BBX","BBX",1,1
"MORC1","MORC1",0.00184512425784147,0.0683088232500546
"MYLK","MYLK",1,1
"DCLK2","DCLK2",1,1
"PCDH12","PCDH12",1,1
"LYSMD3","LYSMD3",1,1
"TSPYL1","TSPYL1",1,1
"RANBP9","RANBP9",0.0339571731800845,0.239534762930279
"EZR","EZR",1,1
"T","T",1,1
"FILIP1","FILIP1",1,1
"MUC17","MUC17",1,1
"DGKI","DGKI",1,1
"CLCN1","CLCN1",1,1
"SSPO","SSPO",0.0030860817048794,0.0828637825515804
"ADCY1","ADCY1",1,1
"CACNA2D1","CACNA2D1",1,1
"GRM3","GRM3",0.0152329890479076,0.154607059619343
"ANK1","ANK1",0.0262281982789714,0.207872882853526
"LYN","LYN",0.0343894891241043,0.241560768014146
"RPL35","RPL35",1,1
"ASS1","ASS1",0.0066404565389568,0.111765509805941
"LAS1L","LAS1L",1,1
"AR","AR",1,1
"TXNIP","TXNIP",1,1
"ZNF687","ZNF687",1,1
"ZC3H11A","ZC3H11A",0.00946278563105076,0.126025379034334
"KCTD3","KCTD3",1,1
"ARID1A","ARID1A",0.0191190255053631,0.177564282901273
"PDE6C","PDE6C",1,1
"ALDH18A1","ALDH18A1",1,1
"CYFIP1","CYFIP1",1,1
"DNAH17","DNAH17",1,1
"POU2F2","POU2F2",1,1
"LRRC4B","LRRC4B",1,1
"BSG","BSG",1,1
"COPS7B","COPS7B",1,1
"KCNQ2","KCNQ2",1,1
"THAP7","THAP7",1,1
"SVEP1","SVEP1",1,1
"ZMYM3","ZMYM3",1,1
"FAM71A","FAM71A",1,1
"WNT4","WNT4",1,1
"HYOU1","HYOU1",1,1
"ANKLE2","ANKLE2",0.0497979081258419,0.301184623260655
"TTC7B","TTC7B",1,1
"KIF1A","KIF1A",0.00221255711169847,0.0765256100137624
"METAP1","METAP1",1,1
"XRCC2","XRCC2",1,1
"SEMA3A","SEMA3A",1,1
"BMX","BMX",1,1
"MYO3A","MYO3A",0.0106539645010187,0.132359607485603
"EML5","EML5",1,1
"TCF12","TCF12",1,1
"UNC45B","UNC45B",1,1
"PIK3C3","PIK3C3",1,1
"MYO5B","MYO5B",1,1
"ZNF791","ZNF791",1,1
"SCN2A","SCN2A",1,1
