"","gene","p","fdr"
"CDC7","CDC7",1,1
"PHLDB1","PHLDB1",1,1
"SMTNL1","SMTNL1",1,1
"ZFPL1","ZFPL1",1,1
"PIK3C2G","PIK3C2G",1,1
"GLG1","GLG1",1,1
"ZZEF1","ZZEF1",1,1
"MTMR4","MTMR4",1,1
"MAPK4","MAPK4",1,1
"TMIGD2","TMIGD2",1,1
"BCHE","BCHE",1,1
"NCEH1","NCEH1",1,1
"IMPDH2","IMPDH2",0.0331625622517022,0.237321771710852
"DUSP7","DUSP7",1,1
"SYNPO2","SYNPO2",1,1
"PIGG","PIGG",1,1
"RASL11B","RASL11B",1,1
"FYB","FYB",1,1
"SRRT","SRRT",1,1
"SLC26A3","SLC26A3",1,1
"ANLN","ANLN",0.0022935586775145,0.0775269402719242
"CDK14","CDK14",1,1
"ATP6V1C1","ATP6V1C1",1,1
"TBC1D25","TBC1D25",1,1
"CYSLTR1","CYSLTR1",1,1
"GRK1","GRK1",0.00964232912360015,0.12614591283704
"CCDC9","CCDC9",1,1
"DNTT","DNTT",1,1
"LYVE1","LYVE1",1,1
"MADD","MADD",0.0342216675180976,0.240635780362209
"PRKAB1","PRKAB1",1,1
"WNK1","WNK1",1,1
"ARAP2","ARAP2",1,1
"ATP6V0A4","ATP6V0A4",1,1
"KLF4","KLF4",5.0121861541199e-05,0.0115090164138912
"FAM47C","FAM47C",1,1
"DSC2","DSC2",1,1
"KANK2","KANK2",1,1
"AFTPH","AFTPH",1,1
"DHX36","DHX36",1,1
"CLNK","CLNK",1,1
"FRYL","FRYL",1,1
"ZC3HAV1","ZC3HAV1",1,1
"PADI1","PADI1",1,1
"TMCC2","TMCC2",0.00680398421038674,0.111765509805941
"DIP2C","DIP2C",1,1
"DSG4","DSG4",1,1
"ATP8B1","ATP8B1",1,1
"ACTN4","ACTN4",1,1
"PRKD2","PRKD2",1,1
"FCAR","FCAR",1,1
"FAM83C","FAM83C",1,1
"ZFP64","ZFP64",1,1
"SGSM3","SGSM3",1,1
"CBLB","CBLB",1,1
"SGOL1","SGOL1",1,1
"GPR34","GPR34",1,1
"RPL5","RPL5",1,1
"RET","RET",1,1
"SLCO1B1","SLCO1B1",1,1
"MMD","MMD",1,1
"PRR11","PRR11",1,1
"PCDHB13","PCDHB13",1,1
"UBR5","UBR5",0.000124907864032811,0.0192589894382924
"DVL1","DVL1",1,1
"ATP8B2","ATP8B2",1,1
"UBQLN4","UBQLN4",1,1
"NCSTN","NCSTN",1,1
"SPATA17","SPATA17",1,1
"COG2","COG2",1,1
"GRIK3","GRIK3",1,1
"EPS15","EPS15",1,1
"DNAJC6","DNAJC6",1,1
"DNMBP","DNMBP",1,1
"BEND7","BEND7",1,1
"CNTN1","CNTN1",1,1
"AJUBA","AJUBA",1,1
"ARHGAP11A","ARHGAP11A",1,1
"CASKIN1","CASKIN1",1,1
"SRRM2","SRRM2",0.0125840884512425,0.144401489202286
"SLX4","SLX4",1,1
"NDRG4","NDRG4",1,1
"LDLR","LDLR",1,1
"PPP1R13L","PPP1R13L",0.00484392389643816,0.101016910440849
"STAT4","STAT4",1,1
"USP34","USP34",0.0149325294166852,0.153687346809439
"TIA1","TIA1",1,1
"VWA3B","VWA3B",1,1
"PI4KA","PI4KA",0.000416738785526855,0.0334345008773895
"DZIP3","DZIP3",0.0420971971138985,0.271390526112188
"ECE2","ECE2",1,1
"HDAC2","HDAC2",1,1
"HIST1H3A","HIST1H3A",0.0220469287566504,0.187258289018539
"HIST1H2BB","HIST1H2BB",1,1
"HIST1H1T","HIST1H1T",0.0376134496005095,0.25351008187226
"HIST1H3I","HIST1H3I",1,1
"KCNQ5","KCNQ5",1,1
"TAF6","TAF6",1,1
"PCM1","PCM1",0.00620140848632096,0.109466211990303
"TMEM66","TMEM66",1,1
"IMPA1","IMPA1",1,1
"ZNF462","ZNF462",0.0196632867189721,0.17985965145829
"NPDC1","NPDC1",1,1
"FGD3","FGD3",1,1
"FLNA","FLNA",0.00343642408587508,0.0876748965051424
"CCKBR","CCKBR",1,1
"WNT5B","WNT5B",1,1
"TTF2","TTF2",1,1
"STX6","STX6",1,1
"EPHB2","EPHB2",1,1
"ARID4B","ARID4B",0.0135907210097818,0.148583892411875
"IL22RA1","IL22RA1",1,1
"BAI2","BAI2",1,1
"SYNC","SYNC",1,1
"APBB1IP","APBB1IP",1,1
"FAM21C","FAM21C",1,1
"WDFY4","WDFY4",1,1
"MMP13","MMP13",1,1
"ACACB","ACACB",1,1
"PCBP2","PCBP2",1,1
"RASA3","RASA3",1,1
"KLHDC4","KLHDC4",1,1
"NOS2","NOS2",1,1
"DENND1C","DENND1C",1,1
"DNAH7","DNAH7",0.0136110788964174,0.148583892411875
"EML6","EML6",1,1
"KIF3B","KIF3B",1,1
"ARFGAP1","ARFGAP1",0.00827620447780527,0.119966662630115
"EHHADH","EHHADH",1,1
"CELSR3","CELSR3",1,1
"FAM13B","FAM13B",1,1
"CEP72","CEP72",1,1
"F2R","F2R",1,1
"RPS6KA2","RPS6KA2",0.0143880871607112,0.152079797465359
"TUBB","TUBB",1,1
"GCLC","GCLC",1,1
"TSGA13","TSGA13",1,1
"NUPL2","NUPL2",1,1
"SDK1","SDK1",1,1
"RUNDC3B","RUNDC3B",1,1
"HAS2","HAS2",1,1
"MAK16","MAK16",1,1
"SHROOM2","SHROOM2",1,1
"PCDH19","PCDH19",1,1
"DDR2","DDR2",0.0244523721345423,0.199300301155345
"OBSCN","OBSCN",1,1
"KCNIP2","KCNIP2",1,1
"OR5R1","OR5R1",1,1
"BAZ2A","BAZ2A",0.0132270720106992,0.147344030620221
"RPGRIP1","RPGRIP1",0.0157627271927141,0.158078313819704
"SMCR8","SMCR8",0.00421523722656398,0.0929445850718198
"CAMKK1","CAMKK1",1,1
"CNOT3","CNOT3",0.0479998847240437,0.293993729719134
"ATAD2B","ATAD2B",0.0388511970912518,0.257955213334535
"PRKCE","PRKCE",1,1
"TRPC1","TRPC1",1,1
"TFAP2A","TFAP2A",1,1
"ABCB8","ABCB8",1,1
"WDR44","WDR44",0.0322409881236198,0.234949757711146
"PLEKHA6","PLEKHA6",0.00699673549960405,0.112405268323467
"ZNF180","ZNF180",1,1
"PTPN23","PTPN23",1,1
"CSN1S1","CSN1S1",1,1
"CDC25C","CDC25C",0.0322839808238021,0.234949757711146
"CHD7","CHD7",1,1
"BRAP","BRAP",1,1
"TPH2","TPH2",0.0298456920440923,0.224567755165661
"USP32","USP32",0.00952380992848887,0.12614591283704
"SDK2","SDK2",1,1
"PLVAP","PLVAP",1,1
"ALS2","ALS2",1,1
"HK2","HK2",1,1
"SFI1","SFI1",1,1
"TOM1","TOM1",0.0156421650357275,0.157612811381406
"CWC27","CWC27",1,1
"SLC4A2","SLC4A2",1,1
"QSOX2","QSOX2",1,1
"RBMXL3","RBMXL3",1,1
"IFNG","IFNG",1,1
"MYBPC2","MYBPC2",0.0252209765611467,0.20381854723383
"EPB41L5","EPB41L5",1,1
"RFC1","RFC1",1,1
"CEP120","CEP120",1,1
"FLG2","FLG2",1,1
"FAM5C","FAM5C",1,1
"PTEN","PTEN",1,1
"ACSF3","ACSF3",1,1
"UBE2F","UBE2F",1,1
"SEMA4C","SEMA4C",1,1
"VEPH1","VEPH1",1,1
"EPHB3","EPHB3",1,1
"NSD1","NSD1",1,1
"PDE10A","PDE10A",1,1
"ABCA13","ABCA13",1,1
"NADK","NADK",1,1
"XPR1","XPR1",1,1
"ST3GAL3","ST3GAL3",1,1
"ZNHIT6","ZNHIT6",0.0157055760156226,0.157742731052837
"MKI67","MKI67",1,1
"KCNQ1","KCNQ1",7.7409329896222e-05,0.0143185757716373
"CTSF","CTSF",1,1
"HNF1A","HNF1A",1,1
"MYO1A","MYO1A",1,1
"MDM1","MDM1",1,1
"DIAPH3","DIAPH3",0.0132297985175638,0.147344030620221
"SLITRK1","SLITRK1",1,1
"RBBP6","RBBP6",1,1
"ADCY9","ADCY9",1,1
"MAP2K6","MAP2K6",1,1
"BRD4","BRD4",1,1
"FMNL2","FMNL2",0.00711449449752488,0.112405268323467
"PRPF40A","PRPF40A",0.0024364343524664,0.0780010401590084
"PCIF1","PCIF1",1,1
"NCOA3","NCOA3",0.00022282631965102,0.0258216865341331
"LGALS1","LGALS1",1,1
"CTNNB1","CTNNB1",1,1
"CRMP1","CRMP1",1,1
"HIPK2","HIPK2",1,1
"ABCF2","ABCF2",1,1
"GABBR2","GABBR2",1,1
"TSPYL2","TSPYL2",1,1
"COPA","COPA",1,1
"ADARB2","ADARB2",1,1
"ALKBH2","ALKBH2",1,1
"HERC2","HERC2",0.0158224684301446,0.158311692843098
"THAP10","THAP10",1,1
"FMNL1","FMNL1",1,1
"TRIM25","TRIM25",1,1
"SYT4","SYT4",0.0221394616627643,0.187804681799168
"ZNF681","ZNF681",1,1
"POTEF","POTEF",0.00128252423832268,0.0573176436442329
"UBASH3A","UBASH3A",1,1
"PEX5L","PEX5L",1,1
"CEP135","CEP135",1,1
"FRMD3","FRMD3",1,1
"OCRL","OCRL",1,1
"ZNF185","ZNF185",1,1
"PPEF1","PPEF1",1,1
"BRWD3","BRWD3",1,1
"PTPRE","PTPRE",1,1
"PRKCQ","PRKCQ",1,1
"INPPL1","INPPL1",1,1
"DEPDC5","DEPDC5",1,1
"FLNB","FLNB",0.0217444302524655,0.187078023688015
"IL17RC","IL17RC",1,1
"HIST1H3G","HIST1H3G",1,1
"USP9X","USP9X",1,1
"TRIM33","TRIM33",1,1
"LRRK2","LRRK2",0.006776271203132,0.111765509805941
"SACS","SACS",1,1
"CD300LF","CD300LF",1,1
"CCDC8","CCDC8",1,1
"TTC14","TTC14",1,1
"RNF168","RNF168",1,1
"PCDHGB3","PCDHGB3",1,1
"SYNPO","SYNPO",4.69053056279195e-05,0.0114637846416794
"MYO10","MYO10",1,1
"MFSD4","MFSD4",1,1
"TCEB3","TCEB3",0.0278466360711727,0.213876297114116
"KDM4A","KDM4A",0.041363149614223,0.268195923350643
"CTR9","CTR9",1,1
"TIMELESS","TIMELESS",1,1
"RDH12","RDH12",1,1
"BLM","BLM",1,1
"ACADVL","ACADVL",1,1
"NWD1","NWD1",1,1
"GPATCH1","GPATCH1",1,1
"ZNF649","ZNF649",1,1
"CST3","CST3",1,1
"GTSE1","GTSE1",0.034510464373497,0.241900191855912
"FGD5","FGD5",1,1
"PI4K2B","PI4K2B",1,1
"KIF27","KIF27",1,1
"SLC7A3","SLC7A3",1,1
"AAAS","AAAS",1,1
"ATP9B","ATP9B",0.00415783067950374,0.0922899816493846
"POLQ","POLQ",0.0140636600764345,0.15031699965884
"LAMB2","LAMB2",1,1
"GDAP1","GDAP1",1,1
"KIF1B","KIF1B",0.0165855201036658,0.162797394798634
"PTPN22","PTPN22",1,1
"FMO4","FMO4",1,1
"SMG7","SMG7",1,1
"NAV1","NAV1",0.0448192081064295,0.282068975176472
"SLC41A1","SLC41A1",1,1
"BPNT1","BPNT1",1,1
"ANGPTL3","ANGPTL3",1,1
"MIER1","MIER1",1,1
"MLLT10","MLLT10",0.0371753198956206,0.251575665838351
"ZEB1","ZEB1",1,1
"KIAA1279","KIAA1279",1,1
"GRIA4","GRIA4",1,1
"ZBTB16","ZBTB16",1,1
"CHST1","CHST1",1,1
"DAK","DAK",1,1
"ZBTB3","ZBTB3",1,1
"PACS1","PACS1",0.0282015805918222,0.21534004244891
"DPP3","DPP3",1,1
"RPS6KB2","RPS6KB2",1,1
"KIAA1033","KIAA1033",1,1
"GPRC5A","GPRC5A",0.0108695650109963,0.133790080237014
"CCDC91","CCDC91",1,1
"EIF4B","EIF4B",0.0249895345812369,0.20243955082294
"SRGAP1","SRGAP1",1,1
"CD4","CD4",1,1
"PABPC3","PABPC3",1,1
"CSNK1A1L","CSNK1A1L",0.0211998793539305,0.185911119166818
"MYO5A","MYO5A",0.012579166926423,0.144401489202286
"NARG2","NARG2",1,1
"ALDOA","ALDOA",1,1
"NLRC3","NLRC3",1,1
"BRD7","BRD7",1,1
"GSE1","GSE1",1,1
"SLFN14","SLFN14",0.0316027088624421,0.233048104446292
"SNF8","SNF8",0.0420367121028839,0.271390526112188
"SETBP1","SETBP1",1,1
"CNDP2","CNDP2",1,1
"NDUFV2","NDUFV2",1,1
"ELL","ELL",1,1
"ZNF492","ZNF492",1,1
"ZNF536","ZNF536",1,1
"RBM42","RBM42",1,1
"RPL36","RPL36",0.0111719959145394,0.135508781047209
"ZNF549","ZNF549",1,1
"ITGAV","ITGAV",1,1
"MAP2","MAP2",0.0354408814880856,0.245322854554965
"LANCL1","LANCL1",1,1
"ABCA12","ABCA12",1,1
"CHRNG","CHRNG",1,1
"CRIM1","CRIM1",1,1
"DHX57","DHX57",1,1
"SLC4A5","SLC4A5",1,1
"RAB36","RAB36",1,1
"GHRL","GHRL",1,1
"SLC4A7","SLC4A7",1,1
"TRIM71","TRIM71",1,1
"FAM208A","FAM208A",1,1
"MAB21L2","MAB21L2",1,1
"CYFIP2","CYFIP2",0.036120407047369,0.248220630060299
"CLK4","CLK4",1,1
"PREP","PREP",0.0338695467829367,0.239428748048612
"ZNF184","ZNF184",0.0195946320224853,0.179478204453549
"PCLO","PCLO",1,1
"TGS1","TGS1",0.00336125271117344,0.0866869858490738
"SLC44A1","SLC44A1",1,1
"IFNA13","IFNA13",1,1
"TOPORS","TOPORS",1,1
"PLS3","PLS3",0.043842470871886,0.280410703611291
"DOCK11","DOCK11",1,1
"SAGE1","SAGE1",1,1
"SPIN2A","SPIN2A",1,1
"NHSL2","NHSL2",1,1
"NSUN6","NSUN6",1,1
"TSG101","TSG101",1,1
"ERP29","ERP29",1,1
"USP44","USP44",0.0038594754403239,0.0889206971919284
"UCHL3","UCHL3",1,1
"TTYH2","TTYH2",0.0104620945186235,0.131447334716064
"NRXN1","NRXN1",1,1
"LRRN1","LRRN1",1,1
"WHSC1","WHSC1",1,1
"SNCAIP","SNCAIP",1,1
"MAML1","MAML1",1,1
"PRLR","PRLR",1,1
"KLHL7","KLHL7",1,1
"BAIAP2L1","BAIAP2L1",1,1
"MYBL1","MYBL1",1,1
"USP51","USP51",1,1
"RC3H1","RC3H1",1,1
"EIF3I","EIF3I",1,1
"LRP4","LRP4",1,1
"ZFHX2","ZFHX2",1,1
"ARG2","ARG2",1,1
"PPL","PPL",0.00646827464231741,0.111454512963029
"B3GNT3","B3GNT3",1,1
"RBM12B","RBM12B",1,1
"SLITRK2","SLITRK2",0.0109764032480387,0.134607493975488
"DENND1B","DENND1B",1,1
"PTGFR","PTGFR",1,1
"HPS5","HPS5",1,1
"NIN","NIN",1,1
"MYH4","MYH4",0.0292529475366303,0.221934897555064
"KRT35","KRT35",1,1
"KRTAP10-8","KRTAP10-8",1,1
"HERC5","HERC5",1,1
"PCDHGA12","PCDHGA12",1,1
"GPR98","GPR98",1,1
"SLC35F1","SLC35F1",1,1
"TXLNB","TXLNB",0.0169750453183332,0.164297713335437
"RHEB","RHEB",1,1
"UPP1","UPP1",1,1
"DAB2IP","DAB2IP",1,1
"NMNAT1","NMNAT1",1,1
"TARDBP","TARDBP",1,1
"ATP5F1","ATP5F1",1,1
"DDX20","DDX20",1,1
"PRDM2","PRDM2",1,1
"LCE1C","LCE1C",1,1
"VASH2","VASH2",1,1
"MIA3","MIA3",0.00348574023988106,0.0878029043702796
"MYOM3","MYOM3",1,1
"KIF26B","KIF26B",1,1
"ZMPSTE24","ZMPSTE24",1,1
"INADL","INADL",1,1
"WAC","WAC",0.000340175003218533,0.0308694504931184
"GRID1","GRID1",1,1
"TNKS2","TNKS2",1,1
"FEN1","FEN1",1,1
"GAB2","GAB2",1,1
"PIWIL1","PIWIL1",1,1
"TPI1","TPI1",1,1
"GRTP1","GRTP1",1,1
"PLCB2","PLCB2",1,1
"ACSM5","ACSM5",1,1
"ZNF174","ZNF174",1,1
"COPS3","COPS3",1,1
"CCT6B","CCT6B",1,1
"GGA3","GGA3",1,1
"CEP192","CEP192",1,1
"SLC39A6","SLC39A6",1,1
"EEF2","EEF2",0.0129797587280631,0.147060020997884
"ERF","ERF",1,1
"GYS1","GYS1",1,1
"ANAPC1","ANAPC1",0.00598623324518963,0.107688550778079
"CPS1","CPS1",0.000188641986506522,0.0237012639273006
"STRN","STRN",1,1
"SIX2","SIX2",1,1
"AGPAT3","AGPAT3",1,1
"THRB","THRB",1,1
"ATXN7","ATXN7",1,1
"GPM6A","GPM6A",1,1
"CDH12","CDH12",1,1
"LAMA4","LAMA4",1,1
"PHACTR2","PHACTR2",1,1
"DST","DST",1,1
"TRIM56","TRIM56",0.0102456805997402,0.130451218190574
"MET","MET",1,1
"AHR","AHR",0.00505480553952047,0.103149809314564
"PENK","PENK",1,1
"ABCA1","ABCA1",1,1
"CYLC1","CYLC1",1,1
"MTOR","MTOR",1,1
"GOLGA5","GOLGA5",1,1
"CLPX","CLPX",1,1
"TXNDC11","TXNDC11",1,1
"USP31","USP31",1,1
"RYR1","RYR1",0.0241591692216321,0.197879345445078
"NDUFAF5","NDUFAF5",1,1
"HIST1H4J","HIST1H4J",1,1
"CHD1L","CHD1L",0.00152533233812988,0.0617024924547347
"AJAP1","AJAP1",1,1
"SLC25A28","SLC25A28",1,1
"RNF10","RNF10",1,1
"DICER1","DICER1",1,1
"SLC7A6OS","SLC7A6OS",1,1
"GRIN2A","GRIN2A",1,1
"MYH2","MYH2",0.00633561780746524,0.110042799181588
"SLC30A5","SLC30A5",1,1
"TNS3","TNS3",0.000690891070449919,0.041465420581988
"FRMPD4","FRMPD4",1,1
"ZNF711","ZNF711",1,1
"H6PD","H6PD",1,1
"PITRM1","PITRM1",1,1
"SBF2","SBF2",1,1
"CEP164","CEP164",1,1
"ARHGDIB","ARHGDIB",1,1
"LRMP","LRMP",1,1
"NCKAP1L","NCKAP1L",0.0407502705257885,0.266035344540417
"LRIG3","LRIG3",1,1
"CDK17","CDK17",1,1
"LCP1","LCP1",1,1
"CASC4","CASC4",1,1
"COL1A1","COL1A1",1,1
"CPAMD8","CPAMD8",1,1
"SARS2","SARS2",0.0022294591293993,0.0765256100137624
"FASTKD2","FASTKD2",1,1
"KIAA0232","KIAA0232",1,1
"ANKRD17","ANKRD17",1,1
"CYB5R4","CYB5R4",1,1
"RGS20","RGS20",1,1
"SMC2","SMC2",1,1
"SHC3","SHC3",0.00570590719620988,0.107382398236499
"GAD2","GAD2",1,1
"FLT3","FLT3",0.00582255135857697,0.107382398236499
"BAZ1A","BAZ1A",1,1
"SAMD15","SAMD15",1,1
"ZNF266","ZNF266",1,1
"IL1RL2","IL1RL2",1,1
"KIAA0947","KIAA0947",0.000144395537924596,0.0204580827029763
"F13A1","F13A1",1,1
"RIMS1","RIMS1",0.00306176194095728,0.0828637825515804
"PIK3CG","PIK3CG",1,1
"RIMS2","RIMS2",1,1
"NSMAF","NSMAF",1,1
"LRSAM1","LRSAM1",1,1
"GABRA3","GABRA3",1,1
"MYO1H","MYO1H",1,1
"SLC12A6","SLC12A6",1,1
"GJC1","GJC1",1,1
"UBE2O","UBE2O",1,1
"HAUS1","HAUS1",1,1
"SUPT5H","SUPT5H",3.30037905997272e-05,0.0101494932449121
"ERCC3","ERCC3",0.0398941543751006,0.261987351068832
"EIF4A2","EIF4A2",1,1
"KCNQ3","KCNQ3",1,1
"THBS3","THBS3",1,1
"ZNF281","ZNF281",0.000126183941285525,0.0192589894382924
"SCCPDH","SCCPDH",1,1
"THRAP3","THRAP3",0.000270455343130556,0.0292721026080552
"CTTN","CTTN",0.00263619313261215,0.079073919234524
"TBX5","TBX5",1,1
"SLC38A4","SLC38A4",1,1
"KTN1","KTN1",0.0211006109947427,0.185911119166818
"TUBGCP4","TUBGCP4",1,1
"MPP3","MPP3",1,1
"ZNF431","ZNF431",1,1
"CCDC138","CCDC138",1,1
"EPHA3","EPHA3",1,1
"PRR3","PRR3",1,1
"GIGYF1","GIGYF1",0.00511297568085865,0.103149809314564
"ZHX1","ZHX1",1,1
"ASTN1","ASTN1",1,1
"ZBTB48","ZBTB48",1,1
"RIC8A","RIC8A",1,1
"CCS","CCS",1,1
"RBM4B","RBM4B",1,1
"OAS1","OAS1",1,1
"LPCAT3","LPCAT3",1,1
"SPG20","SPG20",1,1
"DISP2","DISP2",1,1
"HDAC5","HDAC5",0.0106373402429699,0.132359607485603
"HOXB2","HOXB2",1,1
"ENO3","ENO3",1,1
"MSI2","MSI2",1,1
"CADM4","CADM4",1,1
"ZNF283","ZNF283",1,1
"HDGFRP2","HDGFRP2",1,1
"RPL18","RPL18",1,1
"DARS","DARS",1,1
"ERBB4","ERBB4",0.0355578970865137,0.24551962175649
"TNP1","TNP1",1,1
"STK11IP","STK11IP",0.00342797585017926,0.0876748965051424
"GAL3ST2","GAL3ST2",1,1
"VPS54","VPS54",1,1
"MX2","MX2",1,1
"PNPLA3","PNPLA3",1,1
"IGSF10","IGSF10",0.00261418593482144,0.079073919234524
"FYCO1","FYCO1",1,1
"NBEAL2","NBEAL2",1,1
"DNAH1","DNAH1",1,1
"WDR17","WDR17",1,1
"MCC","MCC",0.000123834591784246,0.0192589894382924
"FSTL4","FSTL4",1,1
"SH3PXD2B","SH3PXD2B",1,1
"ZFR","ZFR",1,1
"FLNC","FLNC",1,1
"AEBP1","AEBP1",1,1
"PKHD1L1","PKHD1L1",0.0106155270521158,0.132359607485603
"CEL","CEL",1,1
"FRMD7","FRMD7",1,1
"PAGE1","PAGE1",1,1
"NAP1L2","NAP1L2",1,1
"NEK2","NEK2",1,1
"CACNB2","CACNB2",0.00241310958274302,0.0780010401590084
"CEP128","CEP128",1,1
"MAP1A","MAP1A",0.0359217110393011,0.247110200217672
"EDC4","EDC4",1,1
"KIF2B","KIF2B",1,1
"MYO9B","MYO9B",1,1
"TMC4","TMC4",1,1
"MYO1F","MYO1F",1,1
"NCK2","NCK2",1,1
"OTUD4","OTUD4",0.0003278630838395,0.0308694504931184
"RHBDD2","RHBDD2",1,1
"SPDYE3","SPDYE3",1,1
"PHF6","PHF6",0.0232533408644787,0.192352791076477
"CHM","CHM",1,1
"KIAA1462","KIAA1462",0.0230447523309573,0.191340406199307
"ZFP36L1","ZFP36L1",1,1
"SLC26A6","SLC26A6",1,1
"MRPL15","MRPL15",1,1
"HTR2C","HTR2C",1,1
"RPTN","RPTN",1,1
"PLA2G4A","PLA2G4A",1,1
"AKR7A3","AKR7A3",1,1
"BMS1","BMS1",1,1
"KRT6C","KRT6C",1,1
"SHC4","SHC4",1,1
"TOX3","TOX3",1,1
"MAST1","MAST1",1,1
"TPO","TPO",1,1
"KIT","KIT",1,1
"DOCK8","DOCK8",1,1
"TP53BP2","TP53BP2",1,1
"ARHGAP12","ARHGAP12",0.00664185204381489,0.111765509805941
"PRKCDBP","PRKCDBP",0.0290124515870055,0.220793045848994
"TRAFD1","TRAFD1",1,1
"SCEL","SCEL",1,1
"RECQL5","RECQL5",0.0277783760697968,0.213726412920234
"DCC","DCC",1,1
"TNFRSF11A","TNFRSF11A",1,1
"PNMAL1","PNMAL1",1,1
"TBC1D22B","TBC1D22B",1,1
"NEFM","NEFM",0.000224907316260657,0.0258216865341331
"ALDH1B1","ALDH1B1",1,1
"CRTC2","CRTC2",0.0116377616395991,0.138202038939278
"KIFAP3","KIFAP3",1,1
"SSRP1","SSRP1",0.0103795349200336,0.130904020894893
"INTS5","INTS5",1,1
"PCDH9","PCDH9",1,1
"ITGA11","ITGA11",1,1
"FARSB","FARSB",1,1
"TMEM71","TMEM71",1,1
"F5","F5",1,1
"CR2","CR2",1,1
"DNAJB4","DNAJB4",1,1
"PSD","PSD",1,1
"SORCS3","SORCS3",1,1
"GCN1L1","GCN1L1",0.000735969364113068,0.042357488775752
"PRX","PRX",1,1
"PVRL2","PVRL2",0.0279660624610335,0.214465969363087
"TGFBRAP1","TGFBRAP1",1,1
"MXD1","MXD1",0.0186649411030253,0.175303022292025
"NFATC2","NFATC2",1,1
"SLITRK3","SLITRK3",1,1
"GOLGA4","GOLGA4",1,1
"INTS12","INTS12",1,1
"NR3C2","NR3C2",1,1
"STK10","STK10",1,1
"ARID1B","ARID1B",0.0448397194693679,0.282068975176472
"GPR116","GPR116",1,1
"MGAM","MGAM",1,1
"KIAA1958","KIAA1958",1,1
"PGM5","PGM5",1,1
"SHROOM4","SHROOM4",1,1
"ATRX","ATRX",1,1
"LRP6","LRP6",1,1
"SPHK2","SPHK2",1,1
"UQCRC1","UQCRC1",1,1
"DNAH11","DNAH11",1,1
"KPRP","KPRP",1,1
"P2RX3","P2RX3",1,1
"SLC15A4","SLC15A4",1,1
"ATP10A","ATP10A",1,1
"PAFAH1B1","PAFAH1B1",1,1
"NR1D1","NR1D1",1,1
"SERPINB7","SERPINB7",1,1
"ATG4D","ATG4D",1,1
"AFF3","AFF3",1,1
"FABP1","FABP1",1,1
"STOX2","STOX2",1,1
"ATP8A1","ATP8A1",1,1
"KCNK5","KCNK5",1,1
"CHRM2","CHRM2",1,1
"KDM4C","KDM4C",1,1
"POLR3GL","POLR3GL",1,1
"ADAR","ADAR",1,1
"NTRK1","NTRK1",1,1
"FHAD1","FHAD1",0.022649604477684,0.189715366310564
"AK2","AK2",1,1
"KIAA0754","KIAA0754",1,1
"DAB1","DAB1",1,1
"AKR1C4","AKR1C4",1,1
"FAM208B","FAM208B",1,1
"HKDC1","HKDC1",1,1
"CAMK2G","CAMK2G",1,1
"OR4C13","OR4C13",1,1
"SLC3A2","SLC3A2",1.00671515056184e-05,0.00515670475968559
"SPTBN2","SPTBN2",0.00839500899500423,0.11998177846355
"C2CD3","C2CD3",1,1
"CRY1","CRY1",1,1
"NOS1","NOS1",1,1
"IRAK4","IRAK4",1,1
"MSRB3","MSRB3",1,1
"LIG4","LIG4",1,1
"SKA3","SKA3",1,1
"PSMA6","PSMA6",1,1
"MYO5C","MYO5C",1,1
"ALDH1A2","ALDH1A2",1,1
"PAQR5","PAQR5",1,1
"ZNF646","ZNF646",1,1
"MEFV","MEFV",1,1
"MGRN1","MGRN1",1,1
"ZNF423","ZNF423",1,1
"SNX20","SNX20",1,1
"SGSM2","SGSM2",1,1
"KRT17","KRT17",1,1
"NAGLU","NAGLU",1,1
"GPATCH8","GPATCH8",0.000649472913496412,0.0406208117354672
"STRADA","STRADA",1,1
"CARD14","CARD14",1,1
"ZNF90","ZNF90",1,1
"AP2A1","AP2A1",1,1
"PRKCG","PRKCG",1,1
"NLRP2","NLRP2",1,1
"GALNT5","GALNT5",1,1
"FAM179A","FAM179A",1,1
"PLCB1","PLCB1",1,1
"SREBF2","SREBF2",1,1
"ESYT3","ESYT3",1,1
"FAM193B","FAM193B",1,1
"FAM169A","FAM169A",1,1
"NHSL1","NHSL1",1,1
"LATS1","LATS1",1,1
"PCMT1","PCMT1",1,1
"IGF2R","IGF2R",1,1
"PPP2R5D","PPP2R5D",1,1
"ENPP4","ENPP4",1,1
"PHF3","PHF3",0.0279878251053496,0.214465969363087
"UBE2J1","UBE2J1",0.00736846078834022,0.112538028416416
"FAM131B","FAM131B",1,1
"CLIP2","CLIP2",1,1
"CLVS1","CLVS1",1,1
"ZBTB10","ZBTB10",1,1
"PTDSS1","PTDSS1",1,1
"PPP2R4","PPP2R4",1,1
"ACO1","ACO1",6.30206646187672e-05,0.0127168062332234
"JAK2","JAK2",0.0111331105456274,0.135508781047209
"PDZD4","PDZD4",1,1
"POC1B","POC1B",1,1
"DDR1","DDR1",1,1
"RAB25","RAB25",1,1
"HPS6","HPS6",1,1
"MCM10","MCM10",1,1
"CYP2C19","CYP2C19",1,1
"OR52B6","OR52B6",1,1
"BORA","BORA",1,1
"NRXN3","NRXN3",1,1
"FANCI","FANCI",0.0240630700146865,0.197458265252989
"TNRC6C","TNRC6C",1,1
"NXPH2","NXPH2",1,1
"KIAA1715","KIAA1715",1,1
