A1BG ANXA7
A1BG TK1
A2M ANXA6
A2M C11orf58
A2M CTSB
A2M MYOC
A2M PDGFB
A2M RPP14
A2M SEPT8
A2M TGFBI
AAMP GABARAPL2
AAMP MAP1LC3B
AASDHPPT MDFI
AATF RB1
ABCA1 FADD
ABCA1 LIMK1
ABCA1 LMO7
ABCA1 MPP6
ABCA1 PDLIM4
ABCC9 LDHA
ABCC9 STX1A
ABCF3 HIRIP3
ABI1 ABL1
ABI1 CYFIP2
ABI1 NIN
ABI1 PAK2
ABI1 SOS2
ABI1 SPTAN1
ABI1 WASF1
ABI2 KRT15
ABI2 PCM1
ABL1 ADAM15
ABL1 APBB1
ABL1 BCAR1
ABL1 BCR
ABL1 CDKN1B
ABL1 CRK
ABL1 DDB1
ABL1 HCK
ABL1 MAP4K5
ABL1 MDM2
ABL1 PSTPIP1
ABL1 RB1
ABL1 YWHAB
ABL1 YWHAE
ABL1 YWHAZ
ABL2 ABL1
ABL2 CRK
ABL2 SORBS2
ABLIM1 CALCOCO2
ABLIM1 KRT15
ABLIM1 LDOC1
ABLIM1 VIM
ABLIM1 YWHAG
ABR PIP5K1C
ACACA CSNK2A1
ACACA CSNK2A2
ACAN FBLN1
ACAN FBLN2
ACAP1 IFFO1
ACHE APP
ACIN1 ABCF3
ACIN1 KLHL26
ACIN1 YWHAG
ACP1 CTNNB1
ACP1 FABP4
ACP1 FYN
ACP1 INSR
ACP1 SFMBT1
ACP1 SPTAN1
ACP6 GNG7
ACTA1 AIF1
ACTA1 CCT4
ACTA1 CTNND1
ACTA1 DNASE1
ACTA1 DTNA
ACTA1 GSN
ACTA1 PAK1
ACTA1 PRKCE
ACTA1 S100A4
ACTA1 TPM3
ACTA1 USP6NL
ACTA2 CCT4
ACTA2 CFL1
ACTB ANXA7
ACTB BCL2L1
ACTB CDKN1A
ACTB CFL1
ACTB CORO1A
ACTB EMD
ACTB FHL3
ACTB H2AFX
ACTB HNRNPAB
ACTB LMNA
ACTB NCALD
ACTB TK1
ACTB TPM1
ACTC1 DYNLL1
ACTC1 GAPDH
ACTC1 HSPB1
ACTC1 PDPK1
ACTC1 SCIN
ACTC1 SYNE2
ACTC1 WIPF1
ACTG1 ABLIM1
ACTG1 ACTB
ACTG1 ATF7IP
ACTG1 CAP2
ACTG1 CFL1
ACTG1 CFL2
ACTG1 DSTN
ACTG1 DYNLL1
ACTG1 PDPK1
ACTG1 PFN2
ACTG1 PIP4K2C
ACTG1 PLD1
ACTG1 ST3GAL3
ACTG1 VASP
ACTL6A ARHGDIA
ACTL6A POLR2A
ACTL6A TRRAP
ACTN1 CDK5
ACTN1 CSRP1
ACTN1 CSRP3
ACTN1 FBP1
ACTN1 KAT2B
ACTN1 PDLIM1
ACTN1 SLC2A4
ACTN1 SSX2IP
ACTN1 ZYX
ACTN4 ACTN3
ACTN4 CAMK2B
ACTN4 CAMK2G
ACTN4 LRRC7
ACTN4 MYOZ1
ACTN4 PDLIM1
ACTN4 TRIM3
ACTR1A DCTN1
ACTR1B CHD3
ACTR1B DCTN1
ACTR2 ACTR3
ACTR2 ARPC4
ACTR2 ARPC5
ACTR2 IQGAP2
ACTR3 ARPC3
ACTR3 CDC42
