A1BG TK1
A1CF SYNCRIP
A2M ATF7IP
A2M CTSB
A2M CTSE
A2M MYOC
A2M RAP1B
A2M SEPT8
A2M TK1
AAMP MAP1LC3B
AANAT YWHAZ
AASDHPPT MDFI
ABCA1 CSNK2A1
ABCA1 FADD
ABCA1 LMO7
ABCA1 MPP6
ABCA1 RAPGEF6
ABCA1 RIMS2
ABCA1 TIAM1
ABCC2 RDX
ABCC9 LDHA
ABCF3 HIRIP3
ABI1 ABL1
ABI1 EPS8
ABI1 EPS8L1
ABI1 HSPA8
ABI1 MINK1
ABI1 NCK2
ABI1 NIN
ABI1 PAK2
ABI1 SOS1
ABI1 SOS2
ABI1 SPTAN1
ABI1 WASF1
ABI2 PCM1
ABL1 ABI2
ABL1 ATM
ABL1 BCR
ABL1 CASP9
ABL1 CDK5
ABL1 CRK
ABL1 CTNND2
ABL1 DDB1
ABL1 GPX1
ABL1 MAP4K5
ABL1 NEDD9
ABL1 PAK2
ABL1 POLR2A
ABL1 PRKD1
ABL1 PRKDC
ABL1 PTPN12
ABL1 RAD9A
ABL1 RB1
ABL1 RIN1
ABL1 SFN
ABL1 SORBS1
ABL1 SORBS2
ABL1 SOS2
ABL1 ST5
ABL1 WASF1
ABL1 YTHDC1
ABL1 YWHAG
ABL1 YWHAH
ABL2 ABL1
ABL2 CRK
ABL2 SORBS2
ABLIM1 HOOK2
ABLIM1 USHBP1
ABLIM1 YWHAG
ABR PIP5K1C
ACAP1 IFFO1
ACD USP7
ACIN1 ABCF3
ACIN1 KLHL26
ACP1 CTNNB1
ACP1 INSR
ACP1 MRPL20
ACP5 MAPK9
ACP5 PPP2CB
ACTA1 CNN1
ACTA1 CORO2B
ACTA1 FSCN1
ACTA1 MYLK
ACTA1 USP6NL
ACTA1 VASP
ACTA1 VCL
ACTA2 CCT4
ACTA2 CCT5
ACTA2 CFL1
ACTB CCT2
ACTB CCT5
ACTB CFL1
ACTB CORO1A
ACTB CPNE2
ACTB EMD
ACTB FHL3
ACTB H2AFX
ACTB LMNA
ACTB NEBL
ACTB PFDN1
ACTB TNNI2
ACTB TPM1
ACTB TPM2
ACTC1 ACTB
ACTC1 FSCN1
ACTG1 ACTB
ACTG1 CFL1
ACTG1 CFL2
ACTG1 GSN
ACTG1 LSP1
ACTG1 PDPK1
ACTG1 PFN2
ACTG1 PPP1R9A
ACTG1 SUMO4
ACTG1 VASP
ACTG1 VCL
ACTG1 VIL1
ACTL6A POLR2A
ACTL6A TRRAP
ACTL6B CDKN1A
ACTN1 ATXN2
ACTN1 CDK5
ACTN1 CSRP1
ACTN1 LPP
ACTN1 PDLIM5
ACTN1 SSX2IP
ACTN1 ZYX
ACTN4 ACTN3
ACTN4 COIL
ACTN4 MAGI1
ACTR1B CHD3
ACTR1B DCTN1
ACTR2 ACTR3
ACTR2 ARPC1B
ACTR2 ARPC4
ACTR2 ARPC5
ACTR2 IQGAP2
ACTR2 WASF2
ACTR3 CDC42
ACTR3 CDH1
ACTR3 WASF3
ACVR1 CHN1
ACVR1 DUSP13
ACVR1 FBXO30
ACVR1 FGD6
ACVR1 FKBP4
ACVR1 NUAK2
ACVR1 RAB17
ACVR1 RAB25
ACVR1 RAB33B
ACVR1 RAB3B
ACVR1 RAP2A
ACVR1 RASD2
ACVR1 RHEBL1
ACVR1 RHOJ
ACVR1 RPS27A
ACVR1 RRAS2
ACVR1 SOCS6
ACVR1 STX8
ACVR1 UBA52
ACVR1 UBE2E3
ACVR1 WDR61
ACVR1B ACVR1
ACVR1B INHBC
ACVR1B SNX1
ACVR1B TGFBRAP1
ACVR1C TDGF1
ACVR2A GDF5
ACVR2B ACVR1B
ACVR2B GDF5
ACVR2B INHBA
ACVR2B INHBB
ACVR2B MSTN
ACVR2B SNX1
ACVR2B SNX2
ACVR2B SNX6
ACVR2B SYNJ2BP
ACVR2B TGFBRAP1
ACVRL1 SNX6
ACVRL1 TGFB1
ACVRL1 TGFBR1
ACVRL1 TGFBR2
ACVRL1 TGFBRAP1
ACVRL1 XIAP
ADAM10 DLL1
ADAM10 SH3D19
ADAM10 TGFA
ADAM17 MAD2L1
ADAM17 NOTCH1
ADAM17 PTPN3
ADAM17 SH3D19
ADAM17 TGFA
ADAM19 NRG1
ADAM19 TNFSF11
ADAM9 MAD2L2
ADAM9 SH3D19
ADAM9 SH3GLB1
ADAM9 SNX9
ADAMTS1 A2M
ADAMTS10 CDKN1A
ADAMTS4 FN1
ADAP1 SUB1
ADCY6 RAF1
ADCYAP1 CASP2
ADCYAP1 MME
ADCYAP1R1 ADCYAP1
ADD2 ADD1
ADIPOR1 APPL1
ADM MME
ADORA1 ADA
ADORA2A ADA
ADORA2A CYTH2
ADORA2A DRD2
ADORA2B SLC9A3R2
ADRA1A ADRA1B
ADRA1D FLNC
ADRA1D SNTA1
ADRA2A GNAI1
ADRA2A GNAI2
ADRA2A YWHAZ
ADRA2B GNAI2
