A1BG ANXA7
A1BG TK1
A2M ANXA6
A2M ATF7IP
A2M CDK2AP2
A2M CTSB
A2M H2AFX
A2M HMOX2
A2M MYOC
A2M SEPT8
A2M TGFBI
A2M TK1
A2M TNFRSF14
AAMP MAP1LC3B
AATF RB1
ABCA1 CSNK2A1
ABCA1 LMO7
ABCA1 MPP6
ABCA1 RAPGEF6
ABCB1 HAX1
ABCC2 RDX
ABCC9 STX1A
ABCF3 HIRIP3
ABI1 EPS8
ABI1 EPS8L1
ABI1 HSPA8
ABI1 NIN
ABI1 PAK2
ABI1 SOS1
ABI1 SOS2
ABI2 KRT15
ABI2 PCM1
ABI3 KIAA0408
ABL1 ABI2
ABL1 ATM
ABL1 BCR
ABL1 CABLES1
ABL1 CAV1
ABL1 CDK5
ABL1 CRK
ABL1 DDB1
ABL1 GPX1
ABL1 MAP4K5
ABL1 MAPT
ABL1 NEDD9
ABL1 POLR2A
ABL1 PRKD1
ABL1 PRKDC
ABL1 PTPN12
ABL1 RAD52
ABL1 RAN
ABL1 SORBS1
ABL1 SORBS2
ABL1 SOS2
ABL1 ST5
ABL1 YTHDC1
ABL1 YWHAE
ABL2 ABL1
ABL2 CRK
ABL2 SORBS2
ABLIM1 LDOC1
ABLIM1 USHBP1
ABR PIP5K1C
ACACA ATXN1
ACACA CSNK2A1
ACAP1 IFFO1
ACD USP7
ACE2 AGT
ACHE APP
ACIN1 ABCF3
ACIN1 KLHL26
ACIN1 YWHAG
ACP1 SPTAN1
ACP5 MAPK9
ACTA1 CFL1
ACTA1 CLIC5
ACTA1 CNN1
ACTA1 FHOD1
ACTA1 FSCN1
ACTA1 LASP1
ACTA1 PFN1
ACTA1 S100A4
ACTA1 TNNI1
ACTA1 TNNI3K
ACTA1 TPM3
ACTA1 VASP
ACTA1 VCL
ACTA2 CFL1
ACTB CCT2
ACTB CDK5R2
ACTB CFL1
ACTB CORO1A
ACTB CPNE1
ACTB CPNE2
ACTB EMD
ACTB FHL3
ACTB H2AFX
ACTB HNRNPAB
ACTB LASP1
ACTB LMNA
ACTB MYO18B
ACTB NEBL
ACTB PDLIM5
ACTB PFDN1
ACTB POLR2A
ACTB RCC1
ACTB TK1
ACTB TNNI2
ACTB TPM1
ACTB TPM2
ACTB VSNL1
ACTC1 AFAP1
ACTC1 DMD
ACTC1 MYLK
ACTG1 ACTB
ACTG1 ATF7IP
ACTG1 CFL1
ACTG1 CFL2
ACTG1 DYNLL1
ACTG1 FHOD1
ACTG1 GSN
ACTG1 LSP1
ACTG1 MAPK6
ACTG1 PDPK1
ACTG1 PIP4K2C
ACTG1 RPS6KA5
ACTG1 SH3GL2
ACTG1 TMSB4Y
ACTG1 VASP
ACTL6A ARHGDIA
ACTN1 ATXN2
ACTN1 CDK5
ACTN1 COIL
ACTN1 CSRP1
ACTN1 CSRP3
ACTN1 LPP
ACTN1 PDLIM1
ACTN1 SSX2IP
ACTN1 ZYX
ACTN2 CAMK2A
ACTN2 NRIP1
ACTN2 PDLIM1
ACTN4 CAMK2G
ACTN4 SACS
ACTN4 TRIM3
ACTR1A DCTN1
ACTR1B CHD3
ACTR1B DCTN1
ACTR1B TK1
ACTR2 ACTR3
ACTR2 ARPC1B
