"Name","K","Kin","Kout","TypeI","TypeII"
"IGF1R",186,170,16,0,1
"ARHGEF7",35,28,7,0,1
"CBLB",53,45,8,0,1
"SIN3A",70,63,7,0,1
"GAPDH",45,31,14,0,1
"RPL8",16,14,2,0,1
"UBR1",38,25,13,0,1
"TLE1",24,21,3,0,1
"ATP5J2",10,8,2,0,1
"ARNT2",12,11,1,0,1
"WAS",22,10,12,0,1
"ARPC3",21,19,2,0,1
"MAPKAPK2",21,19,2,0,1
"BMPR2",113,100,13,0,1
"MDM2",166,154,12,0,1
"ARRB2",35,22,13,0,1
"CHUK",38,24,14,0,1
"HIPK3",117,111,6,0,1
"MAPK1",196,171,25,0,1
"BIN1",15,11,4,0,1
"ASCC2",21,19,2,0,1
"DHFR",12,10,2,0,1
"HSP90AA1",103,81,22,0,1
"CREB1",575,108,467,0,1
"GABPB1",97,90,7,0,1
"SMAD3",128,36,92,0,1
"BATF3",4,3,1,0,1
"JUN",325,47,278,0,1
"CDC34",23,22,1,0,1
"DISC1",36,34,2,0,1
"LUC7L2",44,36,8,0,1
"EIF4EBP1",44,40,4,0,1
"STK11",39,35,4,0,1
"TOPBP1",35,32,3,0,1
"WRN",44,42,2,0,1
"XRCC5",48,42,6,0,1
"DMPK",36,33,3,0,1
"EWSR1",42,26,16,0,1
"CAMK2A",42,37,5,0,1
"MBIP",11,7,4,0,1
"RASSF1",16,10,6,0,1
"ATR",17,10,7,0,1
"ATXN1",191,163,28,0,1
"FAM46A",79,76,3,0,1
"U2AF2",29,27,2,0,1
"RAD23A",24,20,4,0,1
"ITGA2B",4,3,1,0,1
"RNF11",119,100,19,0,1
"AURKA",43,38,5,0,1
"CDC20",21,18,3,0,1
"PPP1CA",29,23,6,0,1
"AVP",4,2,2,0,1
"PRKCA",115,62,53,0,1
"CRMP1",28,20,8,0,1
"EEF1A1",50,40,10,0,1
"SH3GL1",21,15,6,0,1
"IL2RG",10,8,2,0,1
"B2M",28,27,1,0,1
"PLSCR1",48,35,13,0,1
"BCL2L1",43,38,5,0,1
"MAPK8",95,88,7,0,1
"YWHAQ",75,64,11,0,1
"BAG1",14,10,4,0,1
"BCL2",82,71,11,0,1
"HSPA1A",35,30,5,0,1
"DLG4",45,21,24,0,1
"PHYHIP",28,23,5,0,1
"BAIAP2",8,6,2,0,1
"BRD7",32,30,2,0,1
"IKBKAP",32,29,3,0,1
"TCERG1",43,40,3,0,1
"CREB3L3",2,1,1,0,1
"VDAC1",19,16,3,0,1
"MAP3K7",73,65,8,0,1
"BCAR1",34,28,6,0,1
"CD2AP",69,66,3,0,1
"CDK2",100,93,7,0,1
"PIN1",63,47,16,0,1
"PPP2CA",71,60,11,0,1
"BCL2A1",4,3,1,0,1
"NFKB2",74,11,63,0,1
"ERCC3",15,12,3,0,1
"GNAQ",60,48,12,0,1
"GNA11",26,20,6,0,1
"RBL1",75,70,5,0,1
"NEK9",59,58,1,0,1
"BIRC2",28,17,11,0,1
"CASP7",27,22,5,0,1
"DIABLO",19,16,3,0,1
"IKBKG",44,39,5,0,1
"TRADD",22,12,10,0,1
"BLK",4,2,2,0,1
"BLNK",13,10,3,0,1
"PHC1",32,28,4,0,1
"RING1",14,11,3,0,1
"RNF2",46,42,4,0,1
"BMX",8,7,1,0,1
"BNIP3L",36,31,5,0,1
"RINT1",10,8,2,0,1
"MAP2K1",61,49,12,0,1
"BRCA2",21,17,4,0,1
"E2F1",433,51,382,0,1
"KPNA1",80,79,1,0,1
"KPNA2",55,52,3,0,1
"NFYA",261,53,208,0,1
"RFC1",22,18,4,0,1
"RBL2",36,32,4,0,1
"BSG",14,13,1,0,1
"PDLIM7",13,10,3,0,1
"BTBD10",21,20,1,0,1
"EGFR",115,70,45,0,1
"BTK",36,7,29,0,1
"CBL",101,73,28,0,1
"FAS",39,27,12,0,1
"HCK",32,24,8,0,1
"KIT",46,23,23,0,1
"LYN",97,60,37,0,1
"MYD88",27,20,7,0,1
"PLCG2",54,46,8,0,1
"PRKCQ",13,8,5,0,1
"SYK",55,27,28,0,1
"VAV1",34,25,9,0,1
"TNFRSF14",17,10,7,0,1
"BTRC",69,58,11,0,1
"SKP1",38,35,3,0,1
"SUFU",29,27,2,0,1
"UBQLN2",25,23,2,0,1
"YAP1",59,56,3,0,1
"BUB1",45,39,6,0,1
"PLK1",44,27,17,0,1
"BUB1B",11,9,2,0,1
"EHMT2",16,15,1,0,1
"CBX1",38,35,3,0,1
"C11orf58",29,24,5,0,1
"EEF1G",33,17,16,0,1
"KIAA1377",33,16,17,0,1
"RPLP1",42,35,7,0,1
"C14orf1",25,19,6,0,1
"DCN",23,15,8,0,1
"SGTA",12,8,4,0,1
"C3",49,39,10,0,1
"CTSG",9,4,5,0,1
"GC",4,3,1,0,1
"LRP1",49,40,9,0,1
"FGFR3",19,14,5,0,1
"C7orf25",10,7,3,0,1
"C8orf33",41,38,3,0,1
"FEZ1",17,5,12,0,1
"HAP1",26,24,2,0,1
"CABP1",7,6,1,0,1
"CACHD1",20,19,1,0,1
"XAB2",9,4,5,0,1
"CACNA1C",49,47,2,0,1
"MPP3",9,8,1,0,1
"DMD",57,53,4,0,1
"CALCOCO2",29,25,4,0,1
"LNX1",21,10,11,0,1
"MBL2",22,21,1,0,1
"RAMP1",3,2,1,0,1
"CAMK1",9,6,3,0,1
"STRN4",32,27,5,0,1
"GABARAP",25,19,6,0,1
"THBS1",121,110,11,0,1
"TRAF6",95,63,32,0,1
"PLCB2",4,3,1,0,1
"KRT18",29,20,9,0,1
"CAMLG",26,23,3,0,1
"RYR1",6,5,1,0,1
"EBI3",13,12,1,0,1
"CAPNS1",27,23,4,0,1
"CAPRIN1",68,67,1,0,1
