"Name","K","Kin","Kout","TypeI","TypeII"
"HSPA1A",11,7,4,0,1
"DLG4",20,7,13,0,1
"PHYHIP",5,1,4,0,1
"SHANK1",10,2,8,0,1
"BAIAP2",5,3,2,0,1
"BRD7",7,6,1,0,1
"TCERG1",15,12,3,0,1
"CREB3L3",2,1,1,0,1
"BCL2L1",6,3,3,0,1
"MAP3K7",28,20,8,0,1
"BCAR1",19,14,5,0,1
"CD2AP",10,7,3,0,1
"GTF2A1",12,9,3,0,1
"NFKB2",13,6,7,0,1
"RXRA",8,6,2,0,1
"BCL6",6,3,3,0,1
"GNA11",8,4,4,0,1
"RBL1",21,16,5,0,1
"NEK9",2,1,1,0,1
"BIRC2",14,4,10,0,1
"CASP7",11,7,4,0,1
"DIABLO",4,3,1,0,1
"IKBKG",17,12,5,0,1
"BIRC5",9,7,2,0,1
"BLK",4,2,2,0,1
"BLNK",10,7,3,0,1
"BMI1",5,3,2,0,1
"PHC1",7,5,2,0,1
"RNF2",11,7,4,0,1
"BMPR2",23,12,11,0,1
"MAPK1",68,45,23,0,1
"BRCA2",10,6,4,0,1
"CCNA2",16,13,3,0,1
"CDK2",43,36,7,0,1
"KPNA1",5,4,1,0,1
"NFYA",18,7,11,0,1
"RFC1",7,5,2,0,1
"BRF1",9,4,5,0,1
"RBL2",10,7,3,0,1
"BRMS1",4,1,3,0,1
"RBP1",2,1,1,0,1
"PDLIM7",6,3,3,0,1
"BTK",29,5,24,0,1
"HCK",23,20,3,0,1
"LYN",56,27,29,0,1
"MYD88",15,9,6,0,1
"PRKCB",14,10,4,0,1
"SYK",27,8,19,0,1
"VAV1",23,20,3,0,1
"TNFRSF14",13,7,6,0,1
"BUB1",7,2,5,0,1
"PLK1",22,11,11,0,1
"C11orf58",4,2,2,0,1
"RPLP1",14,9,5,0,1
"SF3B1",11,5,6,0,1
"C14orf1",10,4,6,0,1
"HIPK3",17,13,4,0,1
"UBQLN4",20,12,8,0,1
"C3",12,4,8,0,1
"CTSG",6,3,3,0,1
"LRP1",18,11,7,0,1
"C6orf47",2,1,1,0,1
"FGFR3",4,1,3,0,1
"FEZ1",14,4,10,0,1
"XAB2",7,2,5,0,1
"DMD",9,5,4,0,1
"CALCOCO2",6,3,3,0,1
"LNX1",13,6,7,0,1
"CALR",11,3,8,0,1
"TRAF6",36,11,25,0,1
"EGFR",60,29,31,0,1
"KCNA3",3,1,2,0,1
"CANX",12,7,5,0,1
"EBI3",3,2,1,0,1
"SPTAN1",8,5,3,0,1
"RPP14",5,4,1,0,1
"TRAF1",21,13,8,0,1
"CASK",12,3,9,0,1
"HTT",17,8,9,0,1
"PLA2G4A",13,6,7,0,1
"CASP8",29,11,18,0,1
"KPNA2",8,7,1,0,1
"EIF3J",3,2,1,0,1
"NEDD4",15,12,3,0,1
"TOP1",11,9,2,0,1
"CHUK",19,7,12,0,1
"KRT18",13,8,5,0,1
"PRKCZ",21,8,13,0,1
"HRAS",33,15,18,0,1
"INSR",36,15,21,0,1
"IRS1",18,11,7,0,1
"CBL",45,20,25,0,1
"ITCH",5,3,2,0,1
"KHDRBS1",14,10,4,0,1
"SRC",33,15,18,0,1
"CRY1",6,2,4,0,1
"RING1",8,5,3,0,1
"MCM10",15,7,8,0,1
"CCR5",20,13,7,0,1
"MMP1",5,4,1,0,1
"MMP3",7,5,2,0,1
"CCL19",4,1,3,0,1
"CXCL13",4,3,1,0,1
"DPP4",9,4,5,0,1
"CCR3",13,5,8,0,1
"PIGR",3,2,1,0,1
"CDC25A",11,9,2,0,1
"SUMO2",3,2,1,0,1
"DVL3",9,7,2,0,1
"JAK1",36,13,23,0,1
"JAK2",46,20,26,0,1
"CD4",22,10,12,0,1
"LCK",53,28,25,0,1
"PTK2B",22,12,10,0,1
"TXK",5,2,3,0,1
"ITGB2",20,9,11,0,1
"TLR2",6,5,1,0,1
"ITGB1",46,20,26,0,1
"FYN",69,38,31,0,1
"PTPRC",24,15,9,0,1
"CD5",12,10,2,0,1
"PSTPIP1",7,6,1,0,1
"LCP2",24,16,8,0,1
"LAT",17,8,9,0,1
"CD247",19,6,13,0,1
"CSK",19,12,7,0,1
"TRAF2",60,9,51,0,1
"GRAP2",17,12,5,0,1
"PKD2",9,8,1,0,1
"CD3E",9,6,3,0,1
"HLA-DPA1",6,5,1,0,1
"IL16",9,6,3,0,1
"YES1",11,7,4,0,1
"PTK2",23,8,15,0,1
"UBQLN1",15,6,9,0,1
"CD48",7,2,5,0,1
"EEF1D",11,8,3,0,1
"CD8A",10,4,6,0,1
"MELK",6,5,1,0,1
"SAFB",15,9,6,0,1
"ITSN1",21,15,6,0,1
"PRKCI",11,8,3,0,1
"STAU1",11,6,5,0,1
"CTNND1",10,7,3,0,1
"CDH2",9,6,3,0,1
"VIM",25,18,7,0,1
"COIL",18,14,4,0,1
"CDK5RAP1",2,1,1,0,1
"SET",11,8,3,0,1
"CDKN1B",5,2,3,0,1
"CDX2",3,1,2,0,1
"SOX8",6,4,2,0,1
"PIN1",35,22,13,0,1
"THBS1",26,17,9,0,1
"SNAP23",11,6,5,0,1
"CHFR",2,1,1,0,1
"EEF1G",14,4,10,0,1
"CHM",4,3,1,0,1
"CHMP2A",3,1,2,0,1
"GPRASP1",11,4,7,0,1
"CIB1",6,3,3,0,1
"PRMT1",15,7,8,0,1
"ICAM3",6,3,3,0,1
"PIP5K1B",2,1,1,0,1
"CLTB",5,2,3,0,1
"SNX9",4,3,1,0,1
"TNK2",9,7,2,0,1
"CNOT7",3,1,2,0,1
"IL6ST",12,10,2,0,1
"PTPRB",7,5,2,0,1
"IGFBP3",11,7,4,0,1
"COL2A1",6,3,3,0,1
"COL4A3",4,3,1,0,1
"DAZAP2",11,8,3,0,1
"COPB1",9,3,6,0,1
"MAPK14",29,19,10,0,1
"TRIM37",11,7,4,0,1
"GPS1",5,2,3,0,1
"STX5",4,3,1,0,1
"COPS7A",3,1,2,0,1
"CPNE4",2,1,1,0,1
"NUDT21",16,8,8,0,1
"PLSCR1",8,4,4,0,1
"WWP1",6,3,3,0,1
"IGSF21",2,1,1,0,1
"ETS1",27,11,16,0,1
"NFIC",5,3,2,0,1
"PROX1",9,5,4,0,1
"SNIP1",23,19,4,0,1
"TCF12",8,3,5,0,1
"PIK3R1",59,24,35,0,1
"CRMP1",4,2,2,0,1
"HSPB1",8,5,3,0,1
"INPP5D",12,5,7,0,1
"CSF2RB",16,6,10,0,1
"KDR",27,9,18,0,1
"GSN",9,4,5,0,1
"HNRNPK",15,8,7,0,1
"RBX1",8,5,3,0,1
"PPP1R8",8,3,5,0,1
"CSNK2A2",10,6,4,0,1
"CTBP2",5,3,2,0,1
"POLR2B",6,5,1,0,1
"SNRNP70",14,10,4,0,1
"CTGF",13,11,2,0,1
"NOV",7,3,4,0,1
"ZFYVE9",14,8,6,0,1
"ERBB2IP",6,4,2,0,1
"CTSD",4,1,3,0,1
"NCF4",4,3,1,0,1
"TRIM23",8,5,3,0,1
"PLCG1",22,7,15,0,1
"PIK3R3",5,2,3,0,1
"MCRS1",11,9,2,0,1
"MCM3",10,3,7,0,1
"RAD23A",11,7,4,0,1
"RAD23B",5,4,1,0,1
"FBN1",22,17,5,0,1
"FLNA",18,12,6,0,1
"E2F1",22,8,14,0,1
"HSPD1",3,1,2,0,1
"DIS3",5,3,2,0,1
"MAGI2",2,1,1,0,1
"DNAJA1",3,1,2,0,1
"KIAA1377",17,7,10,0,1
"SNAP25",4,3,1,0,1
"DNMT3B",6,2,4,0,1
"PPP2CB",4,3,1,0,1
"KIAA1279",6,2,4,0,1
"DRAP1",6,3,3,0,1
"DRD2",6,1,5,0,1
"GNAZ",5,4,1,0,1
"MPDZ",6,1,5,0,1
"NCK1",37,5,32,0,1
"DUSP23",10,5,5,0,1
"FAM46A",3,2,1,0,1
"PNN",9,4,5,0,1
"DYNLL1",11,6,5,0,1
"EEF1A1",7,3,4,0,1
"E2F3",14,7,7,0,1
"RHOG",7,3,4,0,1
"TRAF3",7,3,4,0,1
"EED",7,4,3,0,1
"TAF9",7,4,3,0,1
"SGTB",6,4,2,0,1
"EFNA1",6,3,3,0,1
"HOMER1",15,5,10,0,1
"PTPN13",9,5,4,0,1
"HGS",19,8,11,0,1
"SOX10",5,2,3,0,1
"EIF3F",5,3,2,0,1
"GADD45G",17,9,8,0,1
"NEK2",5,2,3,0,1
"MVD",3,2,1,0,1
"RPL6",3,2,1,0,1
"ITPR1",10,4,6,0,1
"EPHA4",5,1,4,0,1
"PKP4",5,3,2,0,1
"ERCC3",6,4,2,0,1
"FLI1",17,6,11,0,1
"PIK3CB",11,4,7,0,1
"PSMC5",10,8,2,0,1
"ETF1",4,3,1,0,1
"EXOSC4",9,4,5,0,1
"E2F6",4,3,1,0,1
"TJP1",16,8,8,0,1
"ITGAV",15,8,7,0,1
"RCC1",5,4,1,0,1
"RABAC1",19,8,11,0,1
"RAP1A",12,4,8,0,1
"YAP1",14,11,3,0,1
"FCER1G",7,3,4,0,1
"FCGR1A",5,2,3,0,1
"ZAP70",22,2,20,0,1
"HTATSF1",3,2,1,0,1
"FGFR1",4,2,2,0,1
"RPS6KA3",14,6,8,0,1
"ICAM1",12,10,2,0,1
"FMR1",5,3,2,0,1
"VHL",10,4,6,0,1
"SYNJ1",6,1,5,0,1
"NR1H3",11,8,3,0,1
"SMAD2",40,7,33,0,1
"PTPRF",8,4,4,0,1
"TAF10",16,8,8,0,1
"GIPC1",8,3,5,0,1
"SH3GL3",4,1,3,0,1
"GNAQ",15,6,9,0,1
"ZFPM1",3,2,1,0,1
"NKX2-5",3,1,2,0,1
"GFRA1",2,1,1,0,1
"GGA2",6,1,5,0,1
"RGS19",11,5,6,0,1
"TRPC3",7,4,3,0,1
"GNB1",6,3,3,0,1
"GNAI3",9,4,5,0,1
"GPSM2",4,2,2,0,1
"GOLGA2",6,1,5,0,1
"GOLGA4",5,3,2,0,1
"GRID2",3,2,1,0,1
