"Name","K","Kin","Kout","TypeI","TypeII"
"APCS",6,1,5,0,1
"COL4A1",73,67,6,0,1
"APEX1",47,41,6,0,1
"HDAC1",88,69,19,0,1
"PCNA",63,58,5,0,1
"UBE2I",81,68,13,0,1
"ING5",41,37,4,0,1
"HSP90B1",70,66,4,0,1
"APOE",9,3,6,0,1
"LRP1",53,38,15,0,1
"CASP8",48,30,18,0,1
"HSPG2",33,27,6,0,1
"NID1",41,38,3,0,1
"PSEN2",24,13,11,0,1
"PIK3CA",60,50,10,0,1
"APTX",40,37,3,0,1
"EFEMP2",24,21,3,0,1
"CREBBP",411,106,305,0,1
"GTF2H1",42,37,5,0,1
"MED1",62,57,5,0,1
"MED14",41,40,1,0,1
"SMAD3",126,29,97,0,1
"SP1",499,117,382,0,1
"TRIM24",49,41,8,0,1
"XRCC6",59,43,16,0,1
"UBQLN4",85,53,32,0,1
"COPB1",35,30,5,0,1
"EEF1G",48,22,26,0,1
"PICK1",16,5,11,0,1
"TMED2",33,31,2,0,1
"ARF6",63,58,5,0,1
"ARRB1",45,29,16,0,1
"PRPF40A",79,62,17,0,1
"ARHGAP1",41,37,4,0,1
"RASA1",73,57,16,0,1
"RAC1",90,68,22,0,1
"RHOA",78,64,14,0,1
"SMURF2",53,40,13,0,1
"CBX5",153,148,5,0,1
"RAC2",10,5,5,0,1
"RAC3",12,9,3,0,1
"RHOH",19,16,3,0,1
"ARHGEF11",14,11,3,0,1
"GNA12",40,34,6,0,1
"PLXNB3",8,3,5,0,1
"CD44",37,30,7,0,1
"GNA13",56,46,10,0,1
"IGF1R",181,160,21,0,1
"ARHGEF7",45,39,6,0,1
"TUBB3",12,7,5,0,1
"SMARCA4",51,25,26,0,1
"SMARCE1",45,40,5,0,1
"TP53",399,95,304,0,1
"HDAC2",61,55,6,0,1
"SIN3A",68,63,5,0,1
"UBR1",34,29,5,0,1
"ARL4D",23,21,2,0,1
"WAS",23,11,12,0,1
"CD2AP",79,73,6,0,1
"HNRNPA1",138,135,3,0,1
"MAPK1",184,163,21,0,1
"MAPK3",59,47,12,0,1
"ARRB2",29,16,13,0,1
"HIPK3",97,94,3,0,1
"MED8",35,31,4,0,1
"SH3KBP1",49,46,3,0,1
"RAN",74,69,5,0,1
"ASCC2",22,17,5,0,1
"ASF1A",43,41,2,0,1
"H3F3A",20,18,2,0,1
"ASGR1",12,11,1,0,1
"ATF1",100,22,78,0,1
"CREB1",396,83,313,0,1
"GABPA",266,25,241,0,1
"SPI1",373,18,355,0,1
"JUN",182,30,152,0,1
"CDC34",25,23,2,0,1
"LUC7L2",62,53,9,0,1
"STK11",33,29,4,0,1
"TOPBP1",37,34,3,0,1
"WRN",41,38,3,0,1
"XRCC5",48,42,6,0,1
"ATN1",64,38,26,0,1
"CBFA2T2",49,47,2,0,1
"LYST",23,21,2,0,1
"RBPMS",44,39,5,0,1
"SUMO2",55,47,8,0,1
"TRIP6",22,15,7,0,1
"WWP1",28,25,3,0,1
"BCL2",70,58,12,0,1
"CAMK2A",28,27,1,0,1
"ATP2B4",68,66,2,0,1
"RASSF1",19,14,5,0,1
"PSME3",66,60,6,0,1
"ATP5J2",6,5,1,0,1
"MARK3",22,20,2,0,1
"ATR",15,10,5,0,1
"EZH2",247,36,211,0,1
"CCNK",38,32,6,0,1
"CDK6",118,107,11,0,1
"COIL",65,58,7,0,1
"DAZAP2",92,84,8,0,1
"USP7",41,37,4,0,1
"PSMD7",26,23,3,0,1
"RAD23A",21,17,4,0,1
"RAD23B",81,80,1,0,1
"RNF11",128,115,13,0,1
"AURKA",44,39,5,0,1
"NME1",26,22,4,0,1
"AXIN1",32,20,12,0,1
"DVL3",80,76,4,0,1
"JUP",33,27,6,0,1
"PPP2CB",29,28,1,0,1
"SH3GL1",24,18,6,0,1
"UTP14A",32,23,9,0,1
"AXL",31,25,6,0,1
"NCK2",49,34,15,0,1
"PIK3R2",51,40,11,0,1
"PTPN11",80,55,25,0,1
"SOCS1",33,26,7,0,1
"B2M",38,36,2,0,1
"EXOSC10",29,15,14,0,1
"MAPK8",117,110,7,0,1
"SFN",18,16,2,0,1
"YWHAQ",76,61,15,0,1
"BAG1",10,6,4,0,1
"BAIAP2",14,9,5,0,1
"MAGI1",24,17,7,0,1
"SHANK1",14,4,10,0,1
"HAP1",53,48,5,0,1
"IKBKAP",36,33,3,0,1
"MAP3K7",77,69,8,0,1
"CASP1",12,8,4,0,1
"NEDD9",19,17,2,0,1
"CASP9",34,25,9,0,1
"MAPK14",82,73,9,0,1
"PIN1",48,33,15,0,1
"BEGAIN",24,17,7,0,1
"TRIM27",40,36,4,0,1
"LMO2",19,16,3,0,1
"CSNK2B",41,15,26,0,1
"BIRC2",25,15,10,0,1
"CASP7",21,15,6,0,1
"UBB",38,23,15,0,1
"BIRC5",46,42,4,0,1
"BLOC1S2",26,25,1,0,1
"BMI1",62,58,4,0,1
"RING1",11,9,2,0,1
"RNF2",38,35,3,0,1
"BMPR2",79,67,12,0,1
"TGFBR1",103,70,33,0,1
"GNB5",36,33,3,0,1
"ROBO2",38,35,3,0,1
"YWHAH",63,58,5,0,1
"BRCA2",22,16,6,0,1
"CDK2",92,84,8,0,1
"CDK7",17,13,4,0,1
"CTBP2",49,46,3,0,1
"E2F1",400,42,358,0,1
"KPNA1",69,68,1,0,1
"MED21",35,33,2,0,1
"NFYA",226,50,176,0,1
"RBBP4",71,64,7,0,1
"BRF1",10,8,2,0,1
"RBL2",33,29,4,0,1
"CDC25C",14,10,4,0,1
"ERBB2",65,41,24,0,1
"BTF3",17,16,1,0,1
"BTK",30,8,22,0,1
"GRB2",128,76,52,0,1
"LYN",80,48,32,0,1
"MYD88",24,17,7,0,1
"PRKCB",27,21,6,0,1
"SYK",58,22,36,0,1
"BTRC",69,57,12,0,1
"SKP1",56,51,5,0,1
"SUFU",38,36,2,0,1
"PLK1",46,35,11,0,1
"BUB1B",11,9,2,0,1
"CBX1",45,39,6,0,1
"POLR3F",50,47,3,0,1
"TSNAX",20,18,2,0,1
"GOLM1",38,36,2,0,1
"DCN",20,15,5,0,1
"C1QBP",28,21,7,0,1
"C3",48,38,10,0,1
"COPS6",53,34,19,0,1
"PLG",10,5,5,0,1
"CEP70",23,18,5,0,1
"DAXX",25,18,7,0,1
"TUBA4A",28,18,10,0,1
"EGFR",89,55,34,0,1
"CALR",92,84,8,0,1
"LCK",65,31,34,0,1
"LPL",25,20,5,0,1
"PDIA3",17,15,2,0,1
"SLC2A1",53,50,3,0,1
"TRAF6",63,42,21,0,1
"PLCB3",22,19,3,0,1
"CANX",91,81,10,0,1
"CAPN1",31,19,12,0,1
"CBL",65,54,11,0,1
"CDK5R1",57,52,5,0,1
"CAPNS1",24,21,3,0,1
"PTPN1",49,38,11,0,1
"RAB1A",67,65,2,0,1
"TRAF1",77,61,16,0,1
"CASK",57,47,10,0,1
"PARK2",24,19,5,0,1
"CASP10",33,29,4,0,1
"EEF1A1",85,59,26,0,1
"EIF2AK2",52,42,10,0,1
"TOP1",33,32,1,0,1
"CASP4",10,6,4,0,1
"SUMO1",89,84,5,0,1
"MAP2K1",68,60,8,0,1
"SUMO4",6,2,4,0,1
"HRAS",41,24,17,0,1
"ILK",38,31,7,0,1
"IRS1",84,70,14,0,1
"PTPRF",92,87,5,0,1
"SOS1",70,53,17,0,1
"ITCH",28,26,2,0,1
"PSMC1",17,14,3,0,1
"SPRY2",21,20,1,0,1
"MED9",12,9,3,0,1
"MPP3",13,12,1,0,1
"PFDN1",19,13,6,0,1
"POLR2L",11,8,3,0,1
"HNRNPH3",26,22,4,0,1
"MMP3",12,11,1,0,1
"CCR1",12,11,1,0,1
"VCAN",68,59,9,0,1
"IGFBP7",24,22,2,0,1
"DPP4",10,5,5,0,1
"SRGN",28,24,4,0,1
"CCR3",9,5,4,0,1
"CCR5",28,21,7,0,1
"FEZ1",21,5,16,0,1
"RBL1",74,71,3,0,1
"CDC25A",73,69,4,0,1
"ERCC3",20,17,3,0,1
"CDK9",24,16,8,0,1
"CD4",34,22,12,0,1
"PTK2B",35,19,16,0,1
"TXK",25,23,2,0,1
"SOD1",13,12,1,0,1
"HDAC3",34,25,9,0,1
"ITGB2",27,8,19,0,1
"CD22",11,8,3,0,1
"CD1D",15,11,4,0,1
"PTPRC",24,16,8,0,1
"CD5",10,8,2,0,1
"CD244",6,4,2,0,1
"LAT",21,8,13,0,1
"GAB2",46,42,4,0,1
"JAK3",24,15,9,0,1
"TRAF2",73,16,57,0,1
"TRAF5",33,29,4,0,1
"GRAP2",42,34,8,0,1
"PIK3CG",25,22,3,0,1
"PKD2",11,9,2,0,1
"ITGB1",92,69,23,0,1
"ITGB3",71,54,17,0,1
"CD3E",18,13,5,0,1
"CTSD",15,11,4,0,1
"IL16",10,7,3,0,1
"PIK3R1",119,79,40,0,1
"LLGL1",35,34,1,0,1
"ITGAV",37,30,7,0,1
"PTK2",55,31,24,0,1
"CD48",11,8,3,0,1
"SDCBP",49,39,10,0,1
"KIT",51,33,18,0,1
"SHC1",66,34,32,0,1
"KPNB1",75,66,9,0,1
"PTTG1",10,9,1,0,1
"CDC37",41,36,5,0,1
"SAFB",20,15,5,0,1
"PARD3",44,34,10,0,1
"STAU1",53,47,6,0,1
"TNK2",29,27,2,0,1
"ERBB2IP",47,45,2,0,1
"CDH5",34,26,8,0,1
"NOL12",10,9,1,0,1
"CDK5RAP1",11,9,2,0,1
"CDK5RAP2",16,12,4,0,1
"GATA2",213,15,198,0,1
"SOX10",20,10,10,0,1
"SOX8",7,4,3,0,1
"CEBPG",40,37,3,0,1
"SMARCC1",48,38,10,0,1
"DST",76,72,4,0,1
"RPS6KA6",50,49,1,0,1
"SNAP25",64,62,2,0,1
"NR5A2",35,31,4,0,1
"RIPK1",15,10,5,0,1
"CGN",14,12,2,0,1
"PPP2R5A",24,21,3,0,1
"CHMP2A",8,6,2,0,1
"CHMP2B",20,18,2,0,1
"GPRASP1",18,7,11,0,1
"CIB1",11,8,3,0,1
"TAF6",19,14,5,0,1
"PRMT1",25,18,7,0,1
"LSM1",14,8,6,0,1
"HGS",35,18,17,0,1
"VCL",75,57,18,0,1
"SNX5",38,34,4,0,1
"RABAC1",36,26,10,0,1
"CNKSR1",8,6,2,0,1
"CNOT7",39,35,4,0,1
"CNR1",27,24,3,0,1
"MET",48,32,16,0,1
"HN1L",27,24,3,0,1
"PTPRB",36,34,2,0,1
"CNTNAP4",3,1,2,0,1
"TAF9",17,11,6,0,1
"KRT18",26,15,11,0,1
"COL2A1",15,10,5,0,1
"COL3A1",29,27,2,0,1
"COL7A1",12,9,3,0,1
"SMN1",37,17,20,0,1
"MATN2",19,16,3,0,1
"STX8",6,4,2,0,1
"TRIM37",56,51,5,0,1
"COPS3",19,12,7,0,1
"GPS1",17,11,6,0,1
"NUDT21",48,40,8,0,1
"EBF1",262,41,221,0,1
"HOXB7",10,6,4,0,1
"MBD2",51,49,2,0,1
"NFATC2",39,35,4,0,1
"NFIC",306,89,217,0,1
"SNIP1",57,52,5,0,1
"TUBB2A",63,62,1,0,1
"FGFR1",32,30,2,0,1
"IRS4",56,54,2,0,1
"CSF1",50,48,2,0,1
"GNB2L1",62,48,14,0,1
"JAK1",55,36,19,0,1
"CTDP1",28,23,5,0,1
"RNF126",23,19,4,0,1
"CSTF2",55,52,3,0,1
"RUVBL1",15,14,1,0,1
"ZFYVE9",52,48,4,0,1
"INS",10,7,3,0,1
"IGFBP3",42,36,6,0,1
"PPBP",8,4,4,0,1
"DNM2",47,33,14,0,1
"WASL",81,73,8,0,1
"LNX1",21,11,10,0,1
"NCF4",8,7,1,0,1
"FMR1",47,45,2,0,1
"TRIM23",27,25,2,0,1
"PAFAH1B1",72,67,5,0,1
"DAG1",56,51,5,0,1
"MCRS1",15,13,2,0,1
"MCM3",41,32,9,0,1
"DCX",78,76,2,0,1
"PLCG1",75,54,21,0,1
"SNAPIN",39,29,10,0,1
"SF1",63,60,3,0,1
