"Name","K","Kin","Kout","TypeI","TypeII"
"COL4A1",21,15,6,0,1
"APEX1",21,15,6,0,1
"HDAC1",87,67,20,0,1
"PCNA",40,35,5,0,1
"UBE2I",57,43,14,0,1
"APOE",7,1,6,0,1
"LRP1",36,21,15,0,1
"BGN",7,5,2,0,1
"CASP8",32,13,19,0,1
"COL4A2",17,10,7,0,1
"HSPG2",22,16,6,0,1
"NID1",13,10,3,0,1
"PSEN2",19,8,11,0,1
"SNCA",16,7,9,0,1
"PIK3CA",18,6,12,0,1
"APTX",15,12,3,0,1
"KRTAP4-12",21,10,11,0,1
"CREBBP",146,61,85,0,1
"GTF2H1",14,9,5,0,1
"MED1",17,12,5,0,1
"MED14",11,10,1,0,1
"SMAD3",37,15,22,0,1
"TRIM24",31,23,8,0,1
"UBQLN4",72,39,33,0,1
"EEF1G",43,16,27,0,1
"PICK1",17,5,12,0,1
"TMED2",5,3,2,0,1
"ARF6",18,13,5,0,1
"PRPF40A",43,26,17,0,1
"RASA1",44,27,17,0,1
"RAC1",36,10,26,0,1
"RHOA",45,31,14,0,1
"SMURF2",20,7,13,0,1
"RAC2",9,4,5,0,1
"RAC3",5,2,3,0,1
"RHOH",6,3,3,0,1
"ARHGEF1",7,5,2,0,1
"ARHGEF11",7,4,3,0,1
"GNA12",17,10,7,0,1
"PLXNB3",6,1,5,0,1
"CD44",14,5,9,0,1
"GNA13",15,4,11,0,1
"IGF1R",63,42,21,0,1
"ARHGEF7",16,10,6,0,1
"TUBB3",9,3,6,0,1
"SMARCA4",25,17,8,0,1
"SMARCE1",17,12,5,0,1
"TP53",152,36,116,0,1
"HDAC2",41,35,6,0,1
"SIN3A",41,36,5,0,1
"UBR1",9,3,6,0,1
"ARL4D",8,6,2,0,1
"WAS",24,12,12,0,1
"CD2AP",29,23,6,0,1
"MAPK1",80,59,21,0,1
"MAPK3",51,39,12,0,1
"MATN2",7,4,3,0,1
"ARRB2",19,6,13,0,1
"HIPK3",12,9,3,0,1
"MAP3K5",24,14,10,0,1
"MED8",13,9,4,0,1
"SH3KBP1",27,24,3,0,1
"RAN",32,27,5,0,1
"ASCC2",15,10,5,0,1
"H3F3A",7,5,2,0,1
"ASGR1",2,1,1,0,1
"CREB1",39,12,27,0,1
"SPI1",44,11,33,0,1
"JUN",24,9,15,0,1
"CEBPB",43,10,33,0,1
"CDC34",11,9,2,0,1
