"Name","K","Kin","Kout","TypeI","TypeII"
"TRIM24",46,38,8,0,1
"SLC2A4",35,34,1,0,1
"ITPR1",58,48,10,0,1
"PIK3R1",124,81,43,0,1
"PTPN11",102,62,40,0,1
"RASA1",80,56,24,0,1
"WAS",26,13,13,0,1
"RAC1",77,64,13,0,1
"SMURF2",73,59,14,0,1
"ARHGDIA",62,60,2,0,1
"RAC2",8,5,3,0,1
"VAV1",37,28,9,0,1
"GNA12",38,27,11,0,1
"GNA13",68,56,12,0,1
"ARHGEF12",57,51,6,0,1
"CD44",35,24,11,0,1
"IGF1R",150,135,15,0,1
"RHOA",60,49,11,0,1
"TGFBR1",121,78,43,0,1
"ARHGEF7",36,31,5,0,1
"CBLB",44,37,7,0,1
"SMARCE1",36,32,4,0,1
"SIN3A",69,64,5,0,1
"GAPDH",64,44,20,0,1
"UBR1",42,29,13,0,1
"ARL4D",29,27,2,0,1
"NUDT3",94,87,7,0,1
"ARR3",9,4,5,0,1
"BMPR2",98,86,12,0,1
"HCK",40,30,10,0,1
"HNRNPA1",92,86,6,0,1
"ARRB2",26,20,6,0,1
"MAPK1",179,158,21,0,1
"MED31",18,14,4,0,1
"ASF1A",41,39,2,0,1
"H3F3A",24,23,1,0,1
"HSP90AA1",105,84,21,0,1
"CREB1",474,86,388,0,1
"GABPA",338,30,308,0,1
"JUN",406,66,340,0,1
"DDIT3",13,8,5,0,1
"CDC34",20,19,1,0,1
"DISC1",28,27,1,0,1
"LUC7L2",72,67,5,0,1
"EIF4EBP1",47,45,2,0,1
"RAD51",86,82,4,0,1
"TOPBP1",32,30,2,0,1
"XRCC5",45,39,6,0,1
"ATN1",36,23,13,0,1
"TRIP6",21,15,6,0,1
"BCL2",101,88,13,0,1
"CAMK2A",36,32,4,0,1
"ATP5C1",26,24,2,0,1
"CDK4",87,78,9,0,1
"PIN1",58,42,16,0,1
"RPP14",66,65,1,0,1
"PJA1",11,10,1,0,1
"ATP5J2",7,5,2,0,1
"ATR",23,17,6,0,1
"DAZAP2",95,89,6,0,1
"FAM46A",54,53,1,0,1
"ITGA2B",4,2,2,0,1
"RNF11",111,96,15,0,1
"AURKA",50,45,5,0,1
"CDC20",22,19,3,0,1
"NME1",27,23,4,0,1
"PPP1CA",31,25,6,0,1
"PPP1CC",69,66,3,0,1
"AXIN1",33,17,16,0,1
"BTRC",58,47,11,0,1
"CTNNB1",101,79,22,0,1
"JUP",30,24,6,0,1
"PPP2CA",81,73,8,0,1
"SH3GL1",27,20,7,0,1
"CBL",109,81,28,0,1
"IL2RG",13,9,4,0,1
"LCK",61,34,27,0,1
"PIK3R2",30,22,8,0,1
"SHC1",69,45,24,0,1
"SOCS1",54,45,9,0,1
"B2M",32,30,2,0,1
"RANBP9",39,35,4,0,1
"MAPK8",89,81,8,0,1
"SFN",13,12,1,0,1
"YWHAQ",89,77,12,0,1
"DLG4",67,38,29,0,1
"MAGI3",40,38,2,0,1
"BRD7",30,27,3,0,1
"CHD3",33,25,8,0,1
"IKBKAP",27,23,4,0,1
"BATF3",4,3,1,0,1
"CREB3L3",6,3,3,0,1
"HDAC6",8,5,3,0,1
"MAP3K7",64,57,7,0,1
"CASP8",59,35,24,0,1
"BCAR1",33,26,7,0,1
"PTPN12",47,46,1,0,1
"MAPK14",91,83,8,0,1
"SF1",46,44,2,0,1
"BCL2A1",5,3,2,0,1
"BCL3",93,30,63,0,1
"HDAC3",21,17,4,0,1
"IRF4",107,36,71,0,1
"RUNX1T1",262,107,155,0,1
"ERCC3",18,14,4,0,1
"BMP4",13,8,5,0,1
"COL4A2",47,44,3,0,1
"NEK9",80,79,1,0,1
"DIABLO",26,23,3,0,1
"TRADD",18,10,8,0,1
"TRAF1",64,49,15,0,1
"UBB",44,30,14,0,1
"CASP7",29,25,4,0,1
"BLK",6,4,2,0,1
"FCGR2B",6,3,3,0,1
"SUMO2",58,52,6,0,1
"BLNK",19,15,4,0,1
"BMI1",46,42,4,0,1
"RING1",13,10,3,0,1
"RNF2",45,41,4,0,1
"HSPG2",37,31,6,0,1
"RAP2A",33,29,4,0,1
"STUB1",15,5,10,0,1
"FCER1G",10,5,5,0,1
"ROBO2",49,44,5,0,1
"MAP2K1",45,39,6,0,1
"BRCA2",18,13,5,0,1
"CCNA2",71,68,3,0,1
"CDK2",88,81,7,0,1
"KPNA1",69,66,3,0,1
"KPNA2",70,67,3,0,1
"NFYA",252,63,189,0,1
"BRMS1",11,7,4,0,1
"PDLIM7",15,11,4,0,1
"TRIM5",13,12,1,0,1
"EGFR",86,49,37,0,1
"ERBB2",37,30,7,0,1
"BTK",49,9,40,0,1
"FAS",41,27,14,0,1
"LYN",107,76,31,0,1
"MYD88",32,26,6,0,1
"PLCG2",68,55,13,0,1
"PRKCQ",15,6,9,0,1
"TUBA1A",24,13,11,0,1
"SKP1",45,43,2,0,1
"PLK1",55,34,21,0,1
"BUB1B",14,12,2,0,1
"C11orf58",34,30,4,0,1
"KIAA1377",40,19,21,0,1
"C14orf1",34,28,6,0,1
"DCN",22,15,7,0,1
