"Name","K","Kin","Kout","TypeI","TypeII"
"ASF1A",16,15,1,0,1
"ASGR1",9,6,3,0,1
"CREB1",45,17,28,0,1
"GABPA",22,6,16,0,1
"GABPB1",16,11,5,0,1
"JUN",77,24,53,0,1
"CEBPG",19,17,2,0,1
"DDIT3",5,3,2,0,1
"CDC34",12,11,1,0,1
"GTF2H1",10,7,3,0,1
"LUC7L2",24,19,5,0,1
"EIF4EBP1",11,9,2,0,1
"RAD51",24,20,4,0,1
"TOPBP1",15,13,2,0,1
"WRN",8,7,1,0,1
"ATN1",17,10,7,0,1
"EWSR1",16,7,9,0,1
"TRIP6",19,13,6,0,1
"BCL2",44,33,11,0,1
"ATP2B4",7,6,1,0,1
"SRC",17,7,10,0,1
"PIN1",36,24,12,0,1
"RPP14",6,5,1,0,1
"ATP5C1",11,9,2,0,1
"PJA1",4,3,1,0,1
"ATP5J2",6,4,2,0,1
"ATR",9,3,6,0,1
"DAZAP2",27,22,5,0,1
"RAD23B",11,10,1,0,1
"RNF11",43,28,15,0,1
"AURKA",18,13,5,0,1
"NME1",11,7,4,0,1
"PPP1CA",17,11,6,0,1
"PPP1CC",19,16,3,0,1
"AXIN1",18,5,13,0,1
"CTNNB1",58,38,20,0,1
"JUP",16,13,3,0,1
"PPP2CA",16,8,8,0,1
"SH3GL1",14,8,6,0,1
"AXL",24,11,13,0,1
"CBL",59,34,25,0,1
"IL2RG",12,9,3,0,1
"LCK",60,33,27,0,1
"PIK3R2",13,7,6,0,1
"PTPN11",61,24,37,0,1
"SHC1",46,28,18,0,1
"SOCS1",25,16,9,0,1
"B2M",14,11,3,0,1
"HLA-A",10,8,2,0,1
"RANBP9",9,5,4,0,1
"BACH1",14,12,2,0,1
"MAPK8",39,32,7,0,1
"SFN",9,8,1,0,1
"YWHAQ",44,33,11,0,1
"HSPA1A",12,10,2,0,1
"BAG4",11,9,2,0,1
"BAHD1",5,4,1,0,1
"KRTAP4-12",3,1,2,0,1
"DLG4",42,20,22,0,1
"BRD7",16,13,3,0,1
"IKBKAP",12,8,4,0,1
"MAP3K7",26,19,7,0,1
"BCAR1",21,14,7,0,1
"MAPK1",71,52,19,0,1
"BCL2A1",4,3,1,0,1
"NCOR2",22,11,11,0,1
"RUNX1T1",73,42,31,0,1
"GRK6",8,5,3,0,1
"NEK9",19,18,1,0,1
"CSNK2B",48,16,32,0,1
"DIABLO",11,8,3,0,1
"IKBKG",25,20,5,0,1
"TRAF1",34,22,12,0,1
"UBB",17,7,10,0,1
"CASP7",18,14,4,0,1
"BLK",6,4,2,0,1
"SUMO2",24,19,5,0,1
"BLNK",16,13,3,0,1
"BMI1",11,7,4,0,1
"RING1",10,7,3,0,1
"HSPG2",26,21,5,0,1
"BMPR2",33,24,9,0,1
"RAP2A",12,9,3,0,1
"STUB1",12,2,10,0,1
"ROBO2",12,8,4,0,1
"MAP2K1",12,6,6,0,1
"BRCA2",13,8,5,0,1
"CCNA2",35,32,3,0,1
"CDK2",49,43,6,0,1
"KPNA1",13,10,3,0,1
"NFYA",35,12,23,0,1
"BRF1",10,5,5,0,1
"BRMS1",6,2,4,0,1
"PDLIM7",9,6,3,0,1
"TRIM5",3,2,1,0,1
"BTK",40,8,32,0,1
"FAS",22,10,12,0,1
"LYN",57,30,27,0,1
"MYD88",15,10,5,0,1
"PLCG2",33,24,9,0,1
"PRKCQ",13,5,8,0,1
"SYK",44,15,29,0,1
"SKP1",7,5,2,0,1
"YAP1",17,14,3,0,1
"BUB1",14,8,6,0,1
"PLK1",36,19,17,0,1
"BUB1B",8,6,2,0,1
"C11orf58",8,4,4,0,1
"KIAA1377",34,14,20,0,1
"SF3B1",12,7,5,0,1
"C14orf1",12,8,4,0,1
"KRT15",12,9,3,0,1
"DCN",20,13,7,0,1
"UBQLN4",45,21,24,0,1
"C3",14,6,8,0,1
"C4A",4,1,3,0,1
"FGFR3",4,2,2,0,1
"C8orf33",11,7,4,0,1
"CABP2",3,2,1,0,1
"SIAH2",3,2,1,0,1
"CADPS2",3,2,1,0,1
"DMD",5,4,1,0,1
"TUBA4A",10,5,5,0,1
"GPRASP2",10,4,6,0,1
"STRN4",10,5,5,0,1
"THBS1",48,38,10,0,1
"TRAF6",32,12,20,0,1
"CAMK2A",13,9,4,0,1
"CPSF6",19,16,3,0,1
"CANX",9,5,4,0,1
"SPTAN1",16,7,9,0,1
"EPB41",25,12,13,0,1
"PRKD2",7,4,3,0,1
"HTT",30,19,11,0,1
"DSP",14,12,2,0,1
"KPNA2",30,28,2,0,1
"EIF2AK2",28,17,11,0,1
"NEDD4",26,24,2,0,1
"TOP1",10,8,2,0,1
"CLSPN",3,2,1,0,1
"RIPK1",12,8,4,0,1
"RNF19A",10,6,4,0,1
"SUMO4",3,1,2,0,1
"ILK",18,13,5,0,1
"PTPRF",26,21,5,0,1
"EGFR",50,18,32,0,1
"CD5",13,10,3,0,1
"INSR",40,20,20,0,1
"ITCH",7,4,3,0,1
"SPRY2",11,10,1,0,1
"CRY1",5,2,3,0,1
"TRIM24",18,12,6,0,1
"COPS6",35,21,14,0,1
"MCM10",21,13,8,0,1
"CCR5",28,17,11,0,1
"CXCL13",5,4,1,0,1
"VCAN",29,20,9,0,1
"CCL21",5,3,2,0,1
"DPP4",8,3,5,0,1
"CCL3",6,5,1,0,1
"CCR3",12,5,7,0,1
"PIGR",4,3,1,0,1
"FEZ1",11,4,7,0,1
"CDC25A",31,29,2,0,1
"PTMA",20,6,14,0,1
"HDAC3",9,6,3,0,1
"SKP2",25,18,7,0,1
"CDK7",7,5,2,0,1
"DVL3",9,7,2,0,1
"CDK9",17,10,7,0,1
"JAK1",49,27,22,0,1
"CD4",28,14,14,0,1
"DNM2",8,4,4,0,1
"PTK2B",31,15,16,0,1
"MED31",10,7,3,0,1
