"cause","effect"
"hsa-miR-135b-5p","ADRA2A"
"hsa-miR-135b-5p","ADRBK2"
"hsa-miR-135b-5p","AEBP2"
"hsa-miR-135b-5p","ANXA7"
"hsa-miR-135b-5p","APP"
"hsa-miR-135b-5p","ARID1A"
"hsa-miR-135b-5p","ARNTL"
"hsa-miR-135b-5p","ASAP1"
"hsa-miR-135b-5p","ASF1A"
"hsa-miR-135b-5p","ATP1B1"
"hsa-miR-135b-5p","ATP2B2"
"hsa-miR-135b-5p","ATXN1"
"hsa-miR-135b-5p","BACH1"
"hsa-miR-135b-5p","BMPR1A"
"hsa-miR-135b-5p","BNC2"
"hsa-miR-135b-5p","BTRC"
"hsa-miR-135b-5p","BUB3"
"hsa-miR-135b-5p","CACNG2"
"hsa-miR-135b-5p","CCND2"
"hsa-miR-135b-5p","CD46"
"hsa-miR-135b-5p","CDKN2C"
"hsa-miR-135b-5p","CENPB"
"hsa-miR-135b-5p","CFLAR"
"hsa-miR-135b-5p","CHMP4B"
"hsa-miR-135b-5p","CIC"
"hsa-miR-135b-5p","CNTNAP1"
"hsa-miR-135b-5p","COL5A1"
"hsa-miR-135b-5p","CREBBP"
"hsa-miR-135b-5p","CUX2"
"hsa-miR-135b-5p","CXCL12"
"hsa-miR-135b-5p","DCP2"
"hsa-miR-135b-5p","DEK"
"hsa-miR-135b-5p","DIAPH2"
"hsa-miR-135b-5p","DLG2"
"hsa-miR-135b-5p","DLGAP2"
"hsa-miR-135b-5p","DNAJC10"
"hsa-miR-135b-5p","DNM2"
"hsa-miR-135b-5p","DNM3"
"hsa-miR-135b-5p","DPF1"
"hsa-miR-135b-5p","DST"
"hsa-miR-135b-5p","DTX3L"
"hsa-miR-135b-5p","DUT"
"hsa-miR-135b-5p","EBF1"
"hsa-miR-135b-5p","EFNB2"
"hsa-miR-135b-5p","ELAVL1"
"hsa-miR-135b-5p","ELK3"
"hsa-miR-135b-5p","EPB41L2"
"hsa-miR-135b-5p","EPHA7"
"hsa-miR-135b-5p","ERBB4"
"hsa-miR-135b-5p","FKBP1A"
"hsa-miR-135b-5p","FOXN3"
"hsa-miR-135b-5p","FOXO1"
"hsa-miR-135b-5p","FZD1"
"hsa-miR-135b-5p","FZD6"
"hsa-miR-135b-5p","G3BP1"
"hsa-miR-135b-5p","GAS7"
"hsa-miR-135b-5p","GATA6"
"hsa-miR-135b-5p","GCH1"
"hsa-miR-135b-5p","GHR"
"hsa-miR-135b-5p","GMEB1"
"hsa-miR-135b-5p","GNG7"
"hsa-miR-135b-5p","GPRASP1"
"hsa-miR-135b-5p","GRID2"
"hsa-miR-135b-5p","GRIN2B"
"hsa-miR-135b-5p","GSTO1"
"hsa-miR-135b-5p","GTF3C1"
"hsa-miR-135b-5p","H2AFY"
"hsa-miR-135b-5p","HDAC4"
"hsa-miR-135b-5p","HECW1"
"hsa-miR-135b-5p","HEYL"
"hsa-miR-135b-5p","HNRNPA2B1"
"hsa-miR-135b-5p","HNRNPU"
"hsa-miR-135b-5p","HOXA10"
"hsa-miR-135b-5p","HOXD9"
"hsa-miR-135b-5p","HPS5"
"hsa-miR-135b-5p","INHBA"
"hsa-miR-135b-5p","ITGA11"
"hsa-miR-135b-5p","JAK2"
"hsa-miR-135b-5p","JDP2"
"hsa-miR-135b-5p","KCNB1"
"hsa-miR-135b-5p","KLC2"
"hsa-miR-135b-5p","KLF11"
"hsa-miR-135b-5p","KLF3"
"hsa-miR-135b-5p","KLF9"
"hsa-miR-135b-5p","LAX1"
"hsa-miR-135b-5p","LDB2"
"hsa-miR-135b-5p","LIMK2"
"hsa-miR-135b-5p","MAFB"
"hsa-miR-135b-5p","MAP4"
"hsa-miR-135b-5p","MAPK10"
"hsa-miR-135b-5p","MARCKS"
"hsa-miR-135b-5p","MEF2C"
"hsa-miR-135b-5p","MID1"
"hsa-miR-135b-5p","MKL2"
"hsa-miR-135b-5p","MMP16"
"hsa-miR-135b-5p","MRAS"
"hsa-miR-135b-5p","MYC"
"hsa-miR-135b-5p","MYOCD"
"hsa-miR-135b-5p","NBEA"
"hsa-miR-135b-5p","NCKAP1"
"hsa-miR-135b-5p","NCKIPSD"
"hsa-miR-135b-5p","NCOA1"
"hsa-miR-135b-5p","NEK9"
"hsa-miR-135b-5p","NF1"
"hsa-miR-135b-5p","NR3C2"
"hsa-miR-135b-5p","NUFIP2"
"hsa-miR-135b-5p","PCYT1A"
"hsa-miR-135b-5p","PDE3B"
"hsa-miR-135b-5p","PDGFA"
"hsa-miR-135b-5p","PELI2"
"hsa-miR-135b-5p","PEX7"
"hsa-miR-135b-5p","PGR"
"hsa-miR-135b-5p","PHLDB2"
"hsa-miR-135b-5p","PIAS4"
"hsa-miR-135b-5p","PIK3C2B"
"hsa-miR-135b-5p","PIK3R2"
"hsa-miR-135b-5p","PIK3R3"
"hsa-miR-135b-5p","PIM2"
"hsa-miR-135b-5p","PIP4K2C"
"hsa-miR-135b-5p","PIP5K1A"
"hsa-miR-135b-5p","PLCB1"
"hsa-miR-135b-5p","PLCG1"
"hsa-miR-135b-5p","PPARGC1B"
"hsa-miR-135b-5p","PPM1F"
"hsa-miR-135b-5p","PRDM16"
"hsa-miR-135b-5p","PRKD3"
"hsa-miR-135b-5p","PSME3"
"hsa-miR-135b-5p","PTPN3"
"hsa-miR-135b-5p","PTPRT"
"hsa-miR-135b-5p","QKI"
"hsa-miR-135b-5p","RAB33B"
"hsa-miR-135b-5p","RAB5B"
"hsa-miR-135b-5p","RALGPS2"
"hsa-miR-135b-5p","RBM23"
"hsa-miR-135b-5p","RBM4B"
"hsa-miR-135b-5p","RBPJ"
"hsa-miR-135b-5p","RGL1"
"hsa-miR-135b-5p","RIMS2"
"hsa-miR-135b-5p","RNF144A"
"hsa-miR-135b-5p","RNF41"
"hsa-miR-135b-5p","ROBO1"
"hsa-miR-135b-5p","RORA"
"hsa-miR-135b-5p","RORB"
"hsa-miR-135b-5p","RPS6KA6"
"hsa-miR-135b-5p","RUNX2"
"hsa-miR-135b-5p","SDCBP"
"hsa-miR-135b-5p","SERTAD2"
"hsa-miR-135b-5p","SETBP1"
"hsa-miR-135b-5p","SETD7"
"hsa-miR-135b-5p","SIM2"
"hsa-miR-135b-5p","SKI"
"hsa-miR-135b-5p","SKIL"
"hsa-miR-135b-5p","SLC6A4"
"hsa-miR-135b-5p","SLIT2"
"hsa-miR-135b-5p","SMARCE1"
"hsa-miR-135b-5p","SNTA1"
"hsa-miR-135b-5p","SPEN"
"hsa-miR-135b-5p","SQSTM1"
"hsa-miR-135b-5p","SS18"
"hsa-miR-135b-5p","SYT3"
"hsa-miR-135b-5p","TBC1D4"
"hsa-miR-135b-5p","TBK1"
"hsa-miR-135b-5p","TBPL1"
"hsa-miR-135b-5p","TBX4"
"hsa-miR-135b-5p","TCF7L2"
"hsa-miR-135b-5p","TEAD1"
"hsa-miR-135b-5p","TFAP2A"
"hsa-miR-135b-5p","TFDP2"
"hsa-miR-135b-5p","TGFBR2"
"hsa-miR-135b-5p","TLN1"
"hsa-miR-135b-5p","TNC"
"hsa-miR-135b-5p","TNPO1"
"hsa-miR-135b-5p","TNPO2"
"hsa-miR-135b-5p","TRAF4"
"hsa-miR-135b-5p","TXNIP"
"hsa-miR-135b-5p","UBOX5"
"hsa-miR-135b-5p","UBR5"
"hsa-miR-135b-5p","ULK2"
"hsa-miR-135b-5p","VCAN"
"hsa-miR-135b-5p","VLDLR"
"hsa-miR-135b-5p","VPS37C"
"hsa-miR-135b-5p","VPS4A"
"hsa-miR-135b-5p","WASF2"
"hsa-miR-135b-5p","WIPF1"
"hsa-miR-135b-5p","ZNF135"
"hsa-miR-135b-5p","ZRANB2"
"hsa-miR-136-5p","ADCYAP1R1"
"hsa-miR-136-5p","ADNP"
"hsa-miR-136-5p","ADRBK2"
"hsa-miR-136-5p","AKAP8"
"hsa-miR-136-5p","ANKRD11"
"hsa-miR-136-5p","ARFGEF2"
"hsa-miR-136-5p","ARHGEF10L"
"hsa-miR-136-5p","ARHGEF15"
"hsa-miR-136-5p","ASAP1"
"hsa-miR-136-5p","ATP6V1A"
"hsa-miR-136-5p","ATXN1"
"hsa-miR-136-5p","ATXN1L"
"hsa-miR-136-5p","BCL2"
"hsa-miR-136-5p","BMPR2"
"hsa-miR-136-5p","BPTF"
"hsa-miR-136-5p","BTLA"
"hsa-miR-136-5p","C10orf12"
"hsa-miR-136-5p","CACNA1D"
"hsa-miR-136-5p","CALCOCO2"
"hsa-miR-136-5p","CAND1"
"hsa-miR-136-5p","CANX"
"hsa-miR-136-5p","CASP8"
"hsa-miR-136-5p","CBL"
"hsa-miR-136-5p","CBX4"
"hsa-miR-136-5p","CD3G"
"hsa-miR-136-5p","CHCHD3"
"hsa-miR-136-5p","CHD4"
"hsa-miR-136-5p","CNOT4"
"hsa-miR-136-5p","CNOT7"
"hsa-miR-136-5p","COG5"
"hsa-miR-136-5p","CORO2B"
"hsa-miR-136-5p","CREBZF"
"hsa-miR-136-5p","CSNK1A1"
"hsa-miR-136-5p","CSNK2A1"
"hsa-miR-136-5p","DCP2"
"hsa-miR-136-5p","DIS3"
"hsa-miR-136-5p","DISC1"
"hsa-miR-136-5p","DLG3"
"hsa-miR-136-5p","DNAJA1"
"hsa-miR-136-5p","DR1"
"hsa-miR-136-5p","E2F1"
"hsa-miR-136-5p","EEF2K"
"hsa-miR-136-5p","EIF2AK1"
"hsa-miR-136-5p","EIF4G2"
"hsa-miR-136-5p","EIF4G3"
"hsa-miR-136-5p","ELF3"
"hsa-miR-136-5p","ENAH"
"hsa-miR-136-5p","ERC1"
"hsa-miR-136-5p","ESRRG"
"hsa-miR-136-5p","ETF1"
"hsa-miR-136-5p","ETV5"
"hsa-miR-136-5p","EXOSC2"
"hsa-miR-136-5p","FCGR3B"
"hsa-miR-136-5p","FHL5"
"hsa-miR-136-5p","GANAB"
"hsa-miR-136-5p","GCC1"
"hsa-miR-136-5p","GDF6"
"hsa-miR-136-5p","GNG3"
"hsa-miR-136-5p","GSPT1"
"hsa-miR-136-5p","GTF2F1"
"hsa-miR-136-5p","GTF2H3"
"hsa-miR-136-5p","GTF2I"
"hsa-miR-136-5p","HERC1"
"hsa-miR-136-5p","HHIP"
"hsa-miR-136-5p","HIVEP1"
"hsa-miR-136-5p","HIVEP2"
"hsa-miR-136-5p","HNRNPH3"
"hsa-miR-136-5p","HOXA9"
"hsa-miR-136-5p","IQGAP1"
"hsa-miR-136-5p","KPNB1"
"hsa-miR-136-5p","LGALS8"
"hsa-miR-136-5p","MADD"
"hsa-miR-136-5p","MAPK1"
"hsa-miR-136-5p","MCM5"
"hsa-miR-136-5p","MIB1"
"hsa-miR-136-5p","MID2"
"hsa-miR-136-5p","MIDN"
"hsa-miR-136-5p","MINK1"
"hsa-miR-136-5p","MPZL1"
"hsa-miR-136-5p","MTMR4"
"hsa-miR-136-5p","NANOS1"
"hsa-miR-136-5p","NARS"
"hsa-miR-136-5p","NCOA2"
"hsa-miR-136-5p","NFYB"
"hsa-miR-136-5p","NIPBL"
"hsa-miR-136-5p","NLK"
"hsa-miR-136-5p","NPFFR1"
"hsa-miR-136-5p","NR2F2"
"hsa-miR-136-5p","NR4A3"
"hsa-miR-136-5p","NUDT3"
"hsa-miR-136-5p","P2RY2"
"hsa-miR-136-5p","PAFAH1B1"
"hsa-miR-136-5p","PAK6"
"hsa-miR-136-5p","PARVA"
"hsa-miR-136-5p","PAX5"
"hsa-miR-136-5p","PCDH1"
"hsa-miR-136-5p","PHF1"
"hsa-miR-136-5p","PHF21A"
"hsa-miR-136-5p","PILRB"
"hsa-miR-136-5p","PLXNB1"
"hsa-miR-136-5p","POLA2"
"hsa-miR-136-5p","PPARGC1B"
"hsa-miR-136-5p","PPP2R2A"
"hsa-miR-136-5p","PRDM16"
"hsa-miR-136-5p","PRPF4"
"hsa-miR-136-5p","PTPN3"
"hsa-miR-136-5p","PURB"
"hsa-miR-136-5p","RAC1"
"hsa-miR-136-5p","RAD23B"
"hsa-miR-136-5p","RASAL2"
"hsa-miR-136-5p","RBM8A"
"hsa-miR-136-5p","RCOR1"
"hsa-miR-136-5p","RDX"
"hsa-miR-136-5p","REL"
"hsa-miR-136-5p","RET"
"hsa-miR-136-5p","RIPK2"
"hsa-miR-136-5p","ROCK1"
"hsa-miR-136-5p","RRBP1"
"hsa-miR-136-5p","SEMA4C"
"hsa-miR-136-5p","SENP6"
"hsa-miR-136-5p","SH2B1"
"hsa-miR-136-5p","SH3BP2"
"hsa-miR-136-5p","SIX4"
"hsa-miR-136-5p","SMG1"
"hsa-miR-136-5p","SNCB"
"hsa-miR-136-5p","SNX9"
"hsa-miR-136-5p","SOCS7"
"hsa-miR-136-5p","SOX11"
"hsa-miR-136-5p","SOX5"
"hsa-miR-136-5p","SP2"
"hsa-miR-136-5p","SRGN"
"hsa-miR-136-5p","STC2"
"hsa-miR-136-5p","STRN3"
"hsa-miR-136-5p","STX11"
"hsa-miR-136-5p","SUGT1"
"hsa-miR-136-5p","SYNE1"
"hsa-miR-136-5p","SYT7"
"hsa-miR-136-5p","TAL1"
"hsa-miR-136-5p","TFCP2"
"hsa-miR-136-5p","TFRC"
"hsa-miR-136-5p","TNC"
"hsa-miR-136-5p","TNFAIP3"
"hsa-miR-136-5p","TNPO1"
"hsa-miR-136-5p","TNPO2"
"hsa-miR-136-5p","TP53RK"
"hsa-miR-136-5p","TRAF1"
"hsa-miR-136-5p","TRAF2"
"hsa-miR-136-5p","TRIO"
"hsa-miR-136-5p","UBE2D3"
"hsa-miR-136-5p","UBE2N"
"hsa-miR-136-5p","UBQLN1"
"hsa-miR-136-5p","USP4"
"hsa-miR-136-5p","VCAM1"
"hsa-miR-136-5p","VCP"
"hsa-miR-136-5p","WNT2"
"hsa-miR-136-5p","XIAP"
"hsa-miR-136-5p","XPO7"
"hsa-miR-136-5p","ZBTB5"
"hsa-miR-136-5p","ZBTB6"
"hsa-miR-136-5p","ZNF148"
"hsa-miR-136-5p","ZNF24"
"hsa-miR-136-5p","ZNF451"
"hsa-miR-136-5p","ZNF638"
"hsa-miR-137","ACVR1"
"hsa-miR-137","ADAM23"
"hsa-miR-137","ADM"
"hsa-miR-137","ADRB1"
"hsa-miR-137","AGGF1"
"hsa-miR-137","AHR"
"hsa-miR-137","ALG13"
"hsa-miR-137","ALX4"
"hsa-miR-137","AMOTL2"
"hsa-miR-137","ANKRD13A"
"hsa-miR-137","ANXA7"
"hsa-miR-137","APPL2"
"hsa-miR-137","ARPC5"
"hsa-miR-137","ASGR2"
"hsa-miR-137","BCAP31"
"hsa-miR-137","BCL11A"
"hsa-miR-137","BLZF1"
"hsa-miR-137","BMP7"
"hsa-miR-137","BNIP3L"
"hsa-miR-137","BRAF"
"hsa-miR-137","BTG2"
"hsa-miR-137","C6orf47"
"hsa-miR-137","CACNA1C"
"hsa-miR-137","CADPS2"
"hsa-miR-137","CALM3"
"hsa-miR-137","CAMK2A"
"hsa-miR-137","CAMK4"
"hsa-miR-137","CASP3"
"hsa-miR-137","CCNE1"
"hsa-miR-137","CDK6"
"hsa-miR-137","CENPT"
"hsa-miR-137","CHD9"
"hsa-miR-137","CHGA"
"hsa-miR-137","CHRM2"
"hsa-miR-137","CHRM3"
"hsa-miR-137","CLDN11"
"hsa-miR-137","CLTC"
"hsa-miR-137","COL4A1"
"hsa-miR-137","CPSF6"
"hsa-miR-137","CREB5"
"hsa-miR-137","CUL3"
"hsa-miR-137","CUL4A"
"hsa-miR-137","CUX1"
"hsa-miR-137","CXCL12"
"hsa-miR-137","DAB2IP"
"hsa-miR-137","DBN1"
"hsa-miR-137","DNAJB1"
"hsa-miR-137","DNMT3A"
"hsa-miR-137","DUSP10"
"hsa-miR-137","DUSP4"
"hsa-miR-137","DUSP5"
"hsa-miR-137","DVL2"
"hsa-miR-137","E2F6"
"hsa-miR-137","EFNA2"
"hsa-miR-137","EFNA3"
"hsa-miR-137","EGFR"
"hsa-miR-137","EGR2"
"hsa-miR-137","EIF1"
"hsa-miR-137","EIF3J"
"hsa-miR-137","EMCN"
"hsa-miR-137","EN2"
"hsa-miR-137","EPHA5"
"hsa-miR-137","EPHA7"
"hsa-miR-137","EPS8"
"hsa-miR-137","ERG"
"hsa-miR-137","ESRRA"
"hsa-miR-137","ETV5"
"hsa-miR-137","FAM20C"
"hsa-miR-137","FBN2"
"hsa-miR-137","FGB"
"hsa-miR-137","FGF9"
"hsa-miR-137","FHL3"
"hsa-miR-137","FKBP1A"
"hsa-miR-137","FKBP4"
"hsa-miR-137","FURIN"
"hsa-miR-137","FXYD6"
"hsa-miR-137","GABBR2"
"hsa-miR-137","GAPDH"
"hsa-miR-137","GDF6"
"hsa-miR-137","GIGYF1"
"hsa-miR-137","GORASP2"
"hsa-miR-137","GPR26"
"hsa-miR-137","GPX7"
"hsa-miR-137","GREM2"
"hsa-miR-137","GRID2"
"hsa-miR-137","GRIK3"
"hsa-miR-137","GRIN2A"
"hsa-miR-137","GRM2"
"hsa-miR-137","GRM7"
"hsa-miR-137","GSPT1"
"hsa-miR-137","GTF2E1"
"hsa-miR-137","GUCY1A2"
"hsa-miR-137","H3F3B"
"hsa-miR-137","HAND1"
"hsa-miR-137","HEY2"
"hsa-miR-137","HIC1"
"hsa-miR-137","HIVEP3"
"hsa-miR-137","HK3"
"hsa-miR-137","HNRNPH1"
"hsa-miR-137","HNRNPU"
"hsa-miR-137","HOXC8"
"hsa-miR-137","HOXD11"
"hsa-miR-137","HOXD12"
"hsa-miR-137","ICMT"
"hsa-miR-137","IGFBP5"
"hsa-miR-137","IGLON5"
"hsa-miR-137","ING2"
"hsa-miR-137","INPP5A"
"hsa-miR-137","ITGA5"
"hsa-miR-137","ITGA9"
"hsa-miR-137","KAT5"
"hsa-miR-137","KCNA1"
"hsa-miR-137","KCND1"
"hsa-miR-137","KCND2"
"hsa-miR-137","KIT"
"hsa-miR-137","KLF11"
"hsa-miR-137","KLF12"
"hsa-miR-137","KLF2"
"hsa-miR-137","KLF4"
"hsa-miR-137","KRT1"
"hsa-miR-137","LEMD3"
"hsa-miR-137","LIFR"
"hsa-miR-137","LRP12"
"hsa-miR-137","LRP6"
"hsa-miR-137","MAF"
"hsa-miR-137","MAML1"
"hsa-miR-137","MAP4"
"hsa-miR-137","MAP4K2"
"hsa-miR-137","MAPK8"
"hsa-miR-137","MAX"
"hsa-miR-137","MBD2"
"hsa-miR-137","MDM2"
"hsa-miR-137","MECP2"
"hsa-miR-137","MEGF11"
"hsa-miR-137","MPP1"
"hsa-miR-137","MPP6"
"hsa-miR-137","MSH2"
"hsa-miR-137","MTIF2"
"hsa-miR-137","MTSS1"
"hsa-miR-137","MXD1"
"hsa-miR-137","NAGPA"
"hsa-miR-137","NBEA"
"hsa-miR-137","NFIB"
"hsa-miR-137","NFYB"
"hsa-miR-137","NONO"
"hsa-miR-137","NOTCH1"
"hsa-miR-137","NOTCH2"
"hsa-miR-137","NRXN1"
"hsa-miR-137","NRXN3"
"hsa-miR-137","NSF"
"hsa-miR-137","OSGEP"
"hsa-miR-137","OTUD7B"
"hsa-miR-137","PABPC4"
"hsa-miR-137","PAK3"
"hsa-miR-137","PDCD6"
"hsa-miR-137","PDE4A"
"hsa-miR-137","PDE4D"
"hsa-miR-137","PDGFRA"
"hsa-miR-137","PDHB"
"hsa-miR-137","PDIA6"
"hsa-miR-137","PDZD2"
"hsa-miR-137","PIP4K2C"
"hsa-miR-137","PLCB1"
"hsa-miR-137","PLEKHA5"
"hsa-miR-137","PLEKHB2"
"hsa-miR-137","PLK2"
"hsa-miR-137","PLXNA2"
"hsa-miR-137","PLXNA3"
"hsa-miR-137","PLXNB2"
"hsa-miR-137","PMAIP1"
"hsa-miR-137","PPARGC1B"
"hsa-miR-137","PPP5C"
"hsa-miR-137","PPP6C"
"hsa-miR-137","PRKAB1"
"hsa-miR-137","PRKCSH"
"hsa-miR-137","PRKD3"
"hsa-miR-137","PROX1"
"hsa-miR-137","PTGFRN"
"hsa-miR-137","PTN"
"hsa-miR-137","PTPN5"
"hsa-miR-137","PTPRD"
"hsa-miR-137","QKI"
"hsa-miR-137","RAB11A"
"hsa-miR-137","RAB11B"
"hsa-miR-137","RAB1A"
"hsa-miR-137","RAB35"
"hsa-miR-137","RAB8A"
"hsa-miR-137","RAC1"
"hsa-miR-137","RAD17"
"hsa-miR-137","RCOR2"
"hsa-miR-137","REXO1"
"hsa-miR-137","RGS6"
"hsa-miR-137","RNF4"
"hsa-miR-137","RORA"
"hsa-miR-137","RORB"
"hsa-miR-137","RYR2"
"hsa-miR-137","SATB2"
"hsa-miR-137","SCN2A"
"hsa-miR-137","SCN8A"
"hsa-miR-137","SENP2"
"hsa-miR-137","SERPINA3"
"hsa-miR-137","SFPQ"
"hsa-miR-137","SHC3"
"hsa-miR-137","SHOX"
"hsa-miR-137","SIRT6"
"hsa-miR-137","SKIL"
"hsa-miR-137","SLC4A7"
"hsa-miR-137","SLC9A3R2"
"hsa-miR-137","SNAP29"
"hsa-miR-137","SNAP91"
"hsa-miR-137","SNRPE"
"hsa-miR-137","SOCS6"
"hsa-miR-137","SOX11"
"hsa-miR-137","SRC"
"hsa-miR-137","SS18"
"hsa-miR-137","SSBP2"
"hsa-miR-137","ST3GAL3"
"hsa-miR-137","STK11"
"hsa-miR-137","STK38"
"hsa-miR-137","STK40"
"hsa-miR-137","STRBP"
"hsa-miR-137","SYT1"
"hsa-miR-137","TAF12"
"hsa-miR-137","TARDBP"
"hsa-miR-137","TBC1D1"
"hsa-miR-137","TCF3"
"hsa-miR-137","TDRD7"
"hsa-miR-137","TEAD1"
"hsa-miR-137","TESK2"
"hsa-miR-137","TFRC"
"hsa-miR-137","TGFA"
"hsa-miR-137","THBS1"
"hsa-miR-137","TNC"
"hsa-miR-137","TNIK"
"hsa-miR-137","TRAM2"
"hsa-miR-137","TRIM13"
"hsa-miR-137","TRIM24"
"hsa-miR-137","TRPC3"
"hsa-miR-137","TRPC4"
"hsa-miR-137","TSNAX"
"hsa-miR-137","TWIST1"
"hsa-miR-137","TXNDC17"
"hsa-miR-137","UBE2K"
"hsa-miR-137","UBE2Z"
"hsa-miR-137","UBLCP1"
"hsa-miR-137","UGP2"
"hsa-miR-137","VAC14"
"hsa-miR-137","VARS"
"hsa-miR-137","VLDLR"
"hsa-miR-137","WNT7A"
"hsa-miR-137","YBX1"
"hsa-miR-137","YTHDC1"
"hsa-miR-137","ZBTB7A"
"hsa-miR-137","ZBTB7B"
"hsa-miR-137","ZFPM2"
"hsa-miR-137","ZNF24"
"hsa-miR-137","ZNF496"
"hsa-miR-137","ZNF516"
"hsa-miR-138-5p","ACD"
"hsa-miR-138-5p","ACVR2B"
"hsa-miR-138-5p","ADCYAP1R1"
"hsa-miR-138-5p","AES"
"hsa-miR-138-5p","AFF1"
"hsa-miR-138-5p","AHNAK"
"hsa-miR-138-5p","AKAP11"
"hsa-miR-138-5p","AMOTL2"
"hsa-miR-138-5p","APLP2"
"hsa-miR-138-5p","APPBP2"
"hsa-miR-138-5p","ARFGEF2"
"hsa-miR-138-5p","ARID3A"
"hsa-miR-138-5p","ARL6IP1"
"hsa-miR-138-5p","ASH1L"
"hsa-miR-138-5p","AURKA"
"hsa-miR-138-5p","BAG1"
"hsa-miR-138-5p","BAG4"
"hsa-miR-138-5p","BAZ1B"
"hsa-miR-138-5p","BAZ2A"
"hsa-miR-138-5p","BIRC6"
"hsa-miR-138-5p","BNIP2"
"hsa-miR-138-5p","BNIP3L"
"hsa-miR-138-5p","BTG1"
"hsa-miR-138-5p","BTG2"
"hsa-miR-138-5p","C10orf54"
"hsa-miR-138-5p","C1D"
"hsa-miR-138-5p","CACNA1A"
"hsa-miR-138-5p","CADM1"
"hsa-miR-138-5p","CAMK2B"
"hsa-miR-138-5p","CAND1"
"hsa-miR-138-5p","CASP3"
"hsa-miR-138-5p","CBFA2T2"
"hsa-miR-138-5p","CBY1"
"hsa-miR-138-5p","CCNA2"
"hsa-miR-138-5p","CCND1"
"hsa-miR-138-5p","CCND2"
"hsa-miR-138-5p","CCND3"
"hsa-miR-138-5p","CCNG1"
"hsa-miR-138-5p","CDH1"
"hsa-miR-138-5p","CDH11"
"hsa-miR-138-5p","CEBPA"
"hsa-miR-138-5p","CEBPG"
"hsa-miR-138-5p","CHD4"
"hsa-miR-138-5p","CHD6"
"hsa-miR-138-5p","CIRBP"
"hsa-miR-138-5p","CLDN1"
"hsa-miR-138-5p","CLOCK"
"hsa-miR-138-5p","CLSTN1"
"hsa-miR-138-5p","COL4A1"
"hsa-miR-138-5p","COPA"
"hsa-miR-138-5p","CREB1"
"hsa-miR-138-5p","CREBBP"
"hsa-miR-138-5p","CSE1L"
"hsa-miR-138-5p","CSNK2A1"
"hsa-miR-138-5p","CSPG4"
"hsa-miR-138-5p","CSRP2BP"
"hsa-miR-138-5p","CTNNAL1"
"hsa-miR-138-5p","CXCL2"
"hsa-miR-138-5p","DCP1A"
"hsa-miR-138-5p","DCP1B"
"hsa-miR-138-5p","DGCR14"
"hsa-miR-138-5p","DKK3"
"hsa-miR-138-5p","DUSP10"
"hsa-miR-138-5p","DUSP6"
"hsa-miR-138-5p","DVL2"
"hsa-miR-138-5p","DYNC1H1"
"hsa-miR-138-5p","DYNLL2"
"hsa-miR-138-5p","DYNLT1"
"hsa-miR-138-5p","E2F2"
"hsa-miR-138-5p","EBF1"
"hsa-miR-138-5p","EED"
"hsa-miR-138-5p","EEF1D"
"hsa-miR-138-5p","EEF2"
"hsa-miR-138-5p","EFNB3"
"hsa-miR-138-5p","EIF3K"
"hsa-miR-138-5p","EIF4G1"
"hsa-miR-138-5p","EIF4G2"
"hsa-miR-138-5p","ELF2"
"hsa-miR-138-5p","EMCN"
"hsa-miR-138-5p","ENC1"
"hsa-miR-138-5p","ENG"
"hsa-miR-138-5p","ENOX2"
"hsa-miR-138-5p","EPAS1"
"hsa-miR-138-5p","ERF"
"hsa-miR-138-5p","ERRFI1"
"hsa-miR-138-5p","EXOSC5"
"hsa-miR-138-5p","EZH2"
"hsa-miR-138-5p","FABP4"
"hsa-miR-138-5p","FAM83D"
"hsa-miR-138-5p","FHL2"
"hsa-miR-138-5p","FKBP10"
"hsa-miR-138-5p","FOSL2"
"hsa-miR-138-5p","FOXE1"
"hsa-miR-138-5p","FOXP2"
"hsa-miR-138-5p","FSD1"
"hsa-miR-138-5p","FST"
"hsa-miR-138-5p","GAB2"
"hsa-miR-138-5p","GAS7"
"hsa-miR-138-5p","GATAD2B"
"hsa-miR-138-5p","GNA13"
"hsa-miR-138-5p","GNAI2"
"hsa-miR-138-5p","GNAS"
"hsa-miR-138-5p","GNB2L1"
"hsa-miR-138-5p","GNG2"
"hsa-miR-138-5p","GOLGA4"
"hsa-miR-138-5p","GORASP2"
"hsa-miR-138-5p","GOSR1"
"hsa-miR-138-5p","GRID1"
"hsa-miR-138-5p","GTF2E1"
"hsa-miR-138-5p","H2AFX"
"hsa-miR-138-5p","H3F3B"
"hsa-miR-138-5p","HDLBP"
"hsa-miR-138-5p","HES1"
"hsa-miR-138-5p","HIP1"
"hsa-miR-138-5p","HIPK1"
"hsa-miR-138-5p","HIPK3"
"hsa-miR-138-5p","HMGA1"
"hsa-miR-138-5p","HNRNPUL1"
"hsa-miR-138-5p","HOXA1"
"hsa-miR-138-5p","HOXD12"
"hsa-miR-138-5p","HSPA5"
"hsa-miR-138-5p","HSPBAP1"
"hsa-miR-138-5p","IKZF2"
"hsa-miR-138-5p","IL10RA"
"hsa-miR-138-5p","INHBA"
"hsa-miR-138-5p","IPO8"
"hsa-miR-138-5p","IRS1"
"hsa-miR-138-5p","ITGB4"
"hsa-miR-138-5p","ITM2C"
"hsa-miR-138-5p","KCNK3"
"hsa-miR-138-5p","KIF4A"
