"cause","effect"
"ADRA1A","RGS2"
"ADRA1D","FLNC"
"ADRA2A","GNAI1"
"ADRB1","DLG4"
"ADRB1","MAGI3"
"ADRB2","AKAP12"
"ADRB2","ARRB1"
"ADRB2","GPRASP1"
"ADRB2","GRB2"
"ADRB2","GRK5"
"ADRB2","SLC9A3R1"
"ADRBK1","CAPN2"
"ADRBK1","GIT1"
"ADRBK1","MAPK3"
"ADRBK1","PDCL"
"ADRBK1","PDE6G"
"ADRBK1","RPLP2"
"AES","GTF2E1"
"AFAP1","PRKCE"
"AFAP1","PRKCZ"
"AFAP1","SRC"
"AFAP1L2","ATXN1L"
"AFF1","MLLT3"
"AFF4","CCNT1"
"AFF4","MLLT1"
"AFP","SGSM2"
"AFTPH","UBE3A"
"AGAP1","SMN1"
"AGAP2","HOMER2"
"AGAP2","PIK3R1"
"AGFG1","EPS15"
"AGFG1","PIP4K2A"
"AGFG1","XPO1"
"AGGF1","CCDC85B"
"AGR2","BRD7"
"AGTR1","DNAJC14"
"AGTR2","ERBB3"
"AGTR2","GNAI2"
"AHNAK","CDKN2A"
"AHR","ARNT"
"AHR","ARNTL"
"AHR","CCNT1"
"AHR","EP300"
"AHR","NCOA1"
"AHR","NCOA2"
"AHR","NR2F1"
"AHR","RB1"
"AHR","SMARCA4"
"AHR","TAF4"
"AHR","TAF7"
"AIF1","LCP1"
"AIP","TOMM20"
"AKAP1","PPP1CA"
"AKAP1","PRKAR2A"
"AKAP10","P4HB"
"AKAP10","PRKAR1A"
"AKAP10","PRKAR2A"
"AKAP10","PRKAR2B"
"AKAP10","VASP"
"AKAP11","GSK3B"
"AKAP11","PRKAR2B"
"AKAP12","FHL1"
"AKAP12","PRKAR2A"
"AKAP13","CTNNAL1"
"AKAP13","PRKAR2A"
"AKAP13","YWHAB"
"AKAP13","YWHAG"
"AKAP13","YWHAZ"
"AKAP2","PRKAR2B"
"AKAP3","PRKAR2A"
"AKAP5","IQGAP1"
"AKAP5","PRKAR2A"
"AKAP5","PRKAR2B"
"AKAP8","TRIOBP"
"AKAP8L","DHX9"
"AKAP8L","KPNB1"
"AKAP8L","LBR"
"AKAP8L","PRPF40A"
"AKAP9","PKN1"
"AKAP9","PPP2R3A"
"AKAP9","TRIP10"
"AKT1","AKTIP"
"AKT1","CAMKK1"
"AKT1","DCTN1"
"AKT1","HIST2H2BE"
"AKT1","MAP3K11"
"AKT1","TSC2"
"AKT1S1","TCEA2"
"AKT1S1","YWHAG"
"AKT2","AKT1"
"AKT2","AKT1S1"
"AKT2","BCL2A1"
"AKT2","HSP90AA1"
"AKT2","RAB3D"
"AKT2","SLC2A4"
"AKT2","TSC2"
"AKT3","PDPK1"
"ALAS1","CDK5"
"ALAS1","CDKN1A"
"ALAS1","RAP1B"
"ALB","TK1"
"ALDOA","DYNLL1"
"ALDOA","XRN1"
"ALG13","ATXN1L"
"ALK","IRS1"
"ALK","PTN"
"ALK","PTPRZ1"
"ALK","RASA1"
"ALOX12","LMNA"
"ALS2CR11","CCDC85B"
"ALS2CR11","SSSCA1"
"AMBP","ALB"
"AMFR","CRMP1"
"AMFR","TOM1L1"
"AMFR","UBE2D2"
"AMFR","VCP"
"AMOTL2","KRT15"
"AMOTL2","MAD1L1"
"AMPH","DNM1"
"ANAPC10","CDC27"
"ANGPT1","ANGPT2"
"ANGPT2","CDKN1A"
"ANGPT2","CSNK2B"
"ANGPTL1","TEK"
"ANK1","TTN"
"ANK2","SPTBN1"
"ANK3","HOOK1"
"ANK3","SCN2A"
"ANKRD11","HDAC4"
"ANKRD11","HDAC5"
"ANKRD24","PIP4K2C"
"ANKS1B","LRP2"
"ANKZF1","AURKB"
"ANP32A","HAX1"
"ANP32A","SET"
"ANXA1","COPS6"
"ANXA1","GAPDH"
"ANXA1","OTUB1"
"ANXA1","TRPM7"
"ANXA1","UBE2D1"
"ANXA1","UNC119"
"ANXA11","PLSCR1"
"ANXA11","S100A6"
"ANXA11","SRI"
"ANXA2","CD99"
"ANXA2","LGALS13"
"ANXA2","S100A10"
"ANXA2","S100A4"
"ANXA2","S100A6"
"ANXA5","SUPT4H1"
"ANXA7","CCDC90B"
"ANXA7","CDK4"
"ANXA7","COPS6"
"ANXA7","CPSF3L"
"ANXA7","DDAH2"
"ANXA7","MED31"
"ANXA7","MSH2"
"ANXA7","OTUB1"
"ANXA7","PDHB"
"ANXA7","PLD3"
"ANXA7","RBBP4"
"ANXA7","RPL13"
"ANXA7","TAF5L"
"ANXA7","UBE2D1"
"ANXA7","USP4"
"ANXA7","VIM"
"AP1G1","AFTPH"
"AP1G1","RABGEF1"
"AP1G2","ATXN1L"
"AP1G2","XRN1"
"AP1M1","AP2B1"
"AP1M1","EHD2"
"AP1M1","GAK"
"AP1M1","HNRNPC"
"AP1M1","LDOC1"
"AP1M1","VAMP4"
"AP1M2","AP1M1"
"AP1M2","AP1S1"
"AP1M2","GAK"
"AP1M2","TGOLN2"
"AP1S1","AP1G2"
"AP1S1","AP2A2"
"AP1S2","AP1G2"
"AP2A1","EPN1"
"AP2A1","EPS15"
"AP2A1","PICALM"
"AP2A1","RIT1"
"AP2B1","ATM"
"AP2B1","HIP1"
"AP2B1","MLH1"
"AP2B1","NECAP2"
"AP2B1","NUP54"
"AP2B1","POM121"
"AP2B1","SMURF1"
"AP2B1","TERF2IP"
"AP2B1","TUBGCP4"
"AP2M1","AQP4"
"AP2M1","ATXN1L"
"AP2M1","MEGF10"
"AP2M1","TBC1D5"
"AP3B1","CLTC"
"AP3B1","CSNK1A1"
"AP3B1","PTRF"
"AP3B1","XPOT"
"AP4M1","ARF1"
"AP4M1","TGOLN2"
"APAF1","AVEN"
"APAF1","CASP3"
"APAF1","NLRP1"
"APBA1","APP"
"APBA1","CCS"
"APBA1","LIN7B"
"APBA1","NOTCH1"
"APBA1","STX1A"
"APBA1","STXBP1"
"APBA3","BCR"
"APBB2","SMURF1"
"APC","CSNK1E"
"APC","CTBP1"
"APC","SIAH1"
"APEH","TMEM62"
"APEX1","ANP32A"
"APEX1","HDAC1"
"APEX1","UBE2I"
"APEX2","CCDC85B"
"APIP","LNX1"
"APOA1","ABCA1"
"APOA1","APOA1BP"
"APOA1","HPR"
"APOA1","MAP7D1"
"APOA1","MAPK6"
"APOA1BP","MAPK6"
"APOB","PDIA4"
"APOB","PPIB"
"APOB","SEC61B"
"APOE","APP"
"APOE","CNTF"
"APOE","CTSB"
"APOE","LRP2"
"APOE","MAP2"
"APOE","MAPT"
"APOE","PLTP"
"APOH","LPA"
"APOH","PLG"
"APP","ABL1"
"APP","APBA3"
"APP","APBB2"
"APP","APPBP2"
"APP","BACE1"
"APP","BGN"
"APP","CAV1"
"APP","CDK5"
"APP","EPB41"
"APP","FLOT1"
"APP","GAPDH"
"APP","GSK3B"
"APP","HMOX2"
"APP","HSD17B10"
"APP","HTRA2"
"APP","IDE"
"APP","ITM2B"
"APP","MAPK8IP1"
"APP","NAE1"
"APP","NF1"
"APP","NID1"
"APP","NUMB"
"APP","PSEN1"
"APP","PSEN2"
"APP","SNCA"
"APP","TP53BP2"
"APPBP2","CHMP5"
"APPBP2","MFSD3"
"APPL1","APPL2"
"APPL1","DCC"
"APPL1","FSHR"
"APPL1","PIK3CA"
"APPL1","RAB5A"
"APPL1","RBBP7"
"APTX","MAPKBP1"
"APTX","XRCC4"
"AR","AES"
"AR","ATF2"
"AR","CDC37"
"AR","CREBBP"
"AR","EP300"
"AR","FOXA1"
"AR","FOXO1"
"AR","GTF2F1"
"AR","GTF2F2"
"AR","GTF2H1"
"AR","KAT2B"
"AR","MED1"
"AR","MED14"
"AR","NCOA1"
"AR","NCOA2"
"AR","NCOA3"
"AR","NCOA4"
"AR","NCOR1"
"AR","NCOR2"
"AR","NFKB1"
"AR","NR0B1"
"AR","NRIP1"
"AR","NSD1"
"AR","PIAS1"
"AR","PIAS2"
"AR","PIAS4"
"AR","PNRC2"
"AR","POU2F1"
"AR","PQBP1"
"AR","PRPF6"
"AR","RB1"
"AR","RBAK"
"AR","RNF14"
"AR","RNF4"
"AR","RUNX1"
"AR","SART3"
"AR","SMAD1"
"AR","SMAD3"
"AR","SP1"
"AR","SPDEF"
"AR","SRY"
"AR","SUMO1"
"AR","TCF4"
"AR","TMF1"
"AR","TRIM24"
"AR","UBE2I"
"AR","UBE3A"
"ARAF","YWHAG"
"ARAP1","XRCC6"
"ARF1","ARFGAP1"
"ARF1","ARFIP2"
"ARF1","ARHGAP21"
"ARF1","COPE"
"ARF1","CYTH2"
"ARF1","EEF1G"
"ARF1","PLD1"
"ARF6","AP3B1"
"ARF6","ARRB2"
"ARF6","ASAP2"
"ARF6","CYTH2"
"ARF6","EXOC5"
"ARF6","PIP5K1A"
"ARFGAP1","CSNK1D"
"ARFGAP1","MAP1LC3B"
"ARFGAP1","TK1"
"ARFGEF2","ARFGEF1"
"ARFGEF2","PRPF40A"
"ARFIP2","ITGB3BP"
"ARHGAP1","TUBA4A"
"ARHGAP15","SMURF1"
"ARHGAP26","PKN1"
"ARHGAP5","PRKAR2A"
"ARHGAP5","PRKAR2B"
"ARHGAP5","PTPN18"
"ARHGAP5","RASA1"
"ARHGAP5","SMURF2"
"ARHGDIA","CBX5"
"ARHGDIA","TRIM13"
"ARHGDIB","RAC2"
"ARHGDIB","RHOH"
"ARHGDIB","VAV1"
"ARHGEF1","CSNK1E"
"ARHGEF1","IVNS1ABP"
"ARHGEF1","TRIM8"
"ARHGEF11","ABCA1"
"ARHGEF11","GNA12"
"ARHGEF11","GNA13"
"ARHGEF11","MAP1A"
"ARHGEF11","MAP1B"
