A1BG ANXA7
A1BG TK1
A2M ANXA6
A2M ATF7IP
A2M CDK2AP2
A2M H2AFX
A2M MYOC
A2M NUDT21
A2M PDGFB
A2M RAP1B
A2M TK1
AAMP MAP1LC3B
AASDHPPT MDFI
AATF LDOC1
AATF RB1
ABCA1 CSNK2A1
ABCA1 LIMK1
ABCA1 LMO7
ABCA1 PDLIM4
ABCA1 RAPGEF6
ABCA1 TIAM1
ABCB1 HAX1
ABCC2 RDX
ABCC2 SLC9A3R1
ABCC9 STX1A
ABCF3 HIRIP3
ABI1 HSPA8
ABI1 NIN
ABI1 PAK2
ABI1 SOS1
ABI1 SOS2
ABI2 PCM1
ABI3 KIAA0408
ABI3 KRT15
ABL1 ABI2
ABL1 APBB1
ABL1 ATM
ABL1 CASP9
ABL1 CAV1
ABL1 CDK5
ABL1 CRK
ABL1 DDB1
ABL1 GPX1
ABL1 MAP4K5
ABL1 MAPT
ABL1 NEDD9
ABL1 PAK2
ABL1 POLR2A
ABL1 PRKD1
ABL1 RAN
ABL1 RB1
ABL1 SORBS1
ABL1 SOS2
ABL1 TERT
ABL1 WASF1
ABL1 XRCC6
ABL1 YTHDC1
ABL1 YWHAH
ABL2 ABL1
ABL2 CRK
ABL2 SORBS2
ABLIM1 CALCOCO2
ABLIM1 VIM
ABLIM1 YWHAG
ABR PIP5K1C
ACACA ATXN1
ACACA CSNK2A1
ACACA CSNK2A2
ACAN FBLN1
ACAP1 IFFO1
ACD USP7
ACIN1 ABCF3
ACIN1 KLHL26
ACP1 FABP4
ACP1 FYN
ACTA1 AFAP1
ACTA1 CFL1
ACTA1 CNN1
ACTA1 CORO2B
ACTA1 CYTH1
ACTA1 DNASE1
ACTA1 DTNA
ACTA1 GSN
ACTA1 MYLK
ACTA1 PFN1
ACTA1 S100A4
ACTA1 SORBS1
ACTA1 VASP
ACTA1 VCL
ACTA2 CCT4
ACTA2 CCT5
ACTB CCT2
ACTB CDKN1A
ACTB CFL1
ACTB CORO1A
ACTB CPNE1
ACTB CPNE2
ACTB CSNK1A1
ACTB EMD
ACTB FHL3
ACTB H2AFX
ACTB HNRNPU
ACTB LASP1
ACTB LMNA
ACTB PFDN1
ACTB SMN1
ACTB TPM1
ACTB TPM2
ACTC1 ACTB
ACTC1 ACTN4
ACTC1 DMD
ACTC1 MYLK
ACTC1 VCL
ACTC1 WIPF1
ACTG1 ACTB
ACTG1 ATF7IP
ACTG1 CFL1
ACTG1 DYNLL1
ACTG1 FHOD1
ACTG1 PFN2
ACTG1 PIP4K2C
ACTG1 RPS6KA5
ACTG1 ST3GAL3
ACTG1 VASP
ACTL6A TRRAP
ACTL6B CTBP1
ACTN1 CDK5
ACTN1 CSRP1
ACTN1 LPP
ACTN1 MAGEA11
ACTN1 MED14
ACTN1 PDLIM5
ACTN1 PKN1
ACTN1 ZYX
ACTN2 NRIP1
ACTN4 ACTN3
ACTN4 COIL
ACTN4 MAGI1
ACTN4 MYOZ1
ACTR2 ACTR3
ACTR2 ARPC1B
ACTR2 ARPC4
ACTR2 ARPC5
ACTR2 HCLS1
ACTR2 IQGAP2
ACTR2 WASF2
ACTR3 CDC42
ACTR3 CDH1
ACVR1 AP2B1
ACVR1 CHN1
