"Name","K","Kin","Kout","TypeI","TypeII"
"APLP2",7,6,1,0,1
"CTBP1",45,37,8,0,1
"APEH",2,1,1,0,1
"APEX1",15,11,4,0,1
"PCNA",37,30,7,0,1
"LNX1",24,13,11,0,1
"SETDB1",38,29,9,0,1
"VIM",64,47,17,0,1
"KPNA2",15,12,3,0,1
"LRP1",38,25,13,0,1
"APPBP2",13,11,2,0,1
"CASP8",44,20,24,0,1
"COL4A2",15,14,1,0,1
"FBLN1",13,8,5,0,1
"GAPDH",36,18,18,0,1
"HSPG2",27,21,6,0,1
"PSEN1",25,11,14,0,1
"PSEN2",16,7,9,0,1
"SHC1",35,22,13,0,1
"SNCA",29,14,15,0,1
"TP53BP2",26,24,2,0,1
"EFEMP2",15,9,6,0,1
"AR",116,30,86,0,1
"CCNH",7,5,2,0,1
"CDC37",39,33,6,0,1
"CREBBP",128,53,75,0,1
"GTF2H1",17,14,3,0,1
"MED1",34,28,6,0,1
"NFKB1",51,18,33,0,1
"POU2F1",48,39,9,0,1
"RNF4",6,5,1,0,1
"RUNX1",81,27,54,0,1
"SMAD1",83,22,61,0,1
"SMAD3",62,24,38,0,1
"SP1",169,64,105,0,1
"TRIM24",25,16,9,0,1
"ARAF",13,11,2,0,1
"ARPC3",9,6,3,0,1
"UBQLN4",30,15,15,0,1
"PLD1",23,20,3,0,1
"ARF6",7,2,5,0,1
"ARRB2",24,12,12,0,1
"HSP90AB1",15,13,2,0,1
"PIK3R1",109,58,51,0,1
"PTPN11",76,36,40,0,1
"RASA1",34,18,16,0,1
"TUBA4A",20,10,10,0,1
"SMURF2",47,25,22,0,1
"RBPMS",26,22,4,0,1
"CBX5",50,42,8,0,1
"EZR",6,2,4,0,1
"RAC2",6,2,4,0,1
"ARHGEF11",7,4,3,0,1
"GNA12",14,6,8,0,1
"GNA13",46,31,15,0,1
"ARHGEF12",26,21,5,0,1
"CD44",10,4,6,0,1
"IGF1R",34,16,18,0,1
"ARHGEF7",14,7,7,0,1
"CBLB",32,23,9,0,1
"SMARCE1",10,4,6,0,1
"E2F1",88,23,65,0,1
"SIN3A",42,36,6,0,1
"UBE2L3",10,8,2,0,1
"UBR1",21,10,11,0,1
"FXR2",24,14,10,0,1
"ATP5J2",12,10,2,0,1
"WAS",25,12,13,0,1
"MAP2K7",24,19,5,0,1
"DVL1",18,12,6,0,1
"MAPK3",47,34,13,0,1
"FLNA",50,35,15,0,1
"HIPK3",40,34,6,0,1
"MAPK1",104,75,29,0,1
"MED8",17,11,6,0,1
"SH3KBP1",37,30,7,0,1
"BIN1",10,5,5,0,1
"ASCC2",17,14,3,0,1
"ASF1A",6,5,1,0,1
"ASGR1",11,8,3,0,1
"HSP90AA1",34,14,20,0,1
"CREB1",104,34,70,0,1
"GABPB1",19,15,4,0,1
"SPI1",62,15,47,0,1
"BATF3",4,3,1,0,1
"JUN",89,26,63,0,1
"DDIT3",12,7,5,0,1
"LUC7L2",22,13,9,0,1
"RAD9A",14,10,4,0,1
"STK11",26,21,5,0,1
"TOPBP1",11,8,3,0,1
"WRN",11,8,3,0,1
"XRCC5",28,21,7,0,1
"ATN1",39,20,19,0,1
"EWSR1",46,21,25,0,1
"KRTAP4-12",17,8,9,0,1
"SUMO2",15,9,6,0,1
"BCL2",39,28,11,0,1
"CSE1L",25,23,2,0,1
"RASSF1",16,10,6,0,1
"CDK4",25,15,10,0,1
"PIN1",54,33,21,0,1
"ATR",11,6,5,0,1
"ATXN2",10,7,3,0,1
"COIL",43,35,8,0,1
"DAZAP2",21,14,7,0,1
"U2AF2",17,13,4,0,1
"ATXN3",17,8,9,0,1
"RAD23A",16,11,5,0,1
"RNF11",50,32,18,0,1
"AURKA",11,7,4,0,1
"NME1",10,6,4,0,1
"PPP1CC",28,25,3,0,1
"AVP",4,2,2,0,1
"AVPR1A",8,6,2,0,1
"CRMP1",18,3,15,0,1
"CTNNB1",81,58,23,0,1
"EEF1A1",32,15,17,0,1
"PPP2CB",7,6,1,0,1
"PPP2R5C",14,11,3,0,1
"SH3GL1",21,12,9,0,1
"CBL",77,48,29,0,1
"LCK",66,35,31,0,1
"SOCS1",29,22,7,0,1
"B2M",12,10,2,0,1
"HLA-A",17,10,7,0,1
"EXOSC10",13,3,10,0,1
"RANBP9",12,7,5,0,1
"MAPK8",53,46,7,0,1
"PPP1CA",31,24,7,0,1
"YWHAQ",38,24,14,0,1
"PHYHIP",20,15,5,0,1
"SHANK1",11,2,9,0,1
"BAIAP2",16,10,6,0,1
"CREB3L3",2,1,1,0,1
"MAP3K7",38,29,9,0,1
"CASP1",11,5,6,0,1
"BCAR1",32,22,10,0,1
"CD2AP",37,33,4,0,1
"HCK",36,25,11,0,1
"TRIP6",20,14,6,0,1
"MAPK14",61,50,11,0,1
"GTF2A1",26,22,4,0,1
"NFKB2",18,8,10,0,1
"RUNX1T1",74,44,30,0,1
"ERCC3",5,4,1,0,1
"RBL1",33,28,5,0,1
"BMP4",4,2,2,0,1
"NEK9",8,7,1,0,1
"RAB6A",8,7,1,0,1
"CASP10",24,22,2,0,1
"DNM2",27,18,9,0,1
"CASP7",26,17,9,0,1
"DIABLO",10,7,3,0,1
"UBB",42,23,19,0,1
"BLK",5,2,3,0,1
"BMI1",11,8,3,0,1
"CBX8",17,15,2,0,1
"RING1",13,10,3,0,1
"RNF2",14,11,3,0,1
"COL1A1",52,37,15,0,1
"BMPR2",62,50,12,0,1
"BMX",7,6,1,0,1
"ITK",18,15,3,0,1
"BNIP3L",16,11,5,0,1
"RINT1",5,3,2,0,1
"MAP2K1",21,12,9,0,1
"BRCA2",11,7,4,0,1
"CCND1",28,22,6,0,1
"CDK2",51,44,7,0,1
"MLH1",7,6,1,0,1
"MYC",63,19,44,0,1
"NFYA",27,10,17,0,1
"NMI",10,9,1,0,1
"RFC1",12,10,2,0,1
"BTBD2",21,19,2,0,1
"RBL2",24,18,6,0,1
"TRIM5",6,5,1,0,1
"BTK",45,7,38,0,1
"FAS",36,16,20,0,1
"KIT",50,21,29,0,1
"LYN",83,43,40,0,1
"MYD88",23,16,7,0,1
"PLCG2",47,31,16,0,1
"PRKCQ",13,7,6,0,1
"SYK",54,15,39,0,1
"TLR4",32,21,11,0,1
"VAV1",32,25,7,0,1
"SUFU",16,14,2,0,1
"UBQLN2",10,8,2,0,1
"PLK1",26,14,12,0,1
"USHBP1",19,17,2,0,1
"C11orf58",6,2,4,0,1
"EEF1G",18,5,13,0,1
"KIAA1377",38,16,22,0,1
"SF3B1",21,15,6,0,1
"HABP4",13,10,3,0,1
"C3",23,12,11,0,1
"LAMA1",15,6,9,0,1
"FGFR3",16,7,9,0,1
"CEP70",12,7,5,0,1
"C8orf33",12,10,2,0,1
"CABP2",2,1,1,0,1
"SKP1",11,7,4,0,1
"MPP3",5,4,1,0,1
"DMD",38,32,6,0,1
"DAXX",14,10,4,0,1
"PIAS4",29,26,3,0,1
"GRB7",14,8,6,0,1
"KRAS",24,16,8,0,1
"LYST",14,11,3,0,1
"STRN4",18,13,5,0,1
"CALR",20,6,14,0,1
"GABARAP",10,4,6,0,1
"THBS1",62,54,8,0,1
"TRAF6",50,18,32,0,1
"CAMLG",6,2,4,0,1
"CANX",30,21,9,0,1
"EBI3",6,5,1,0,1
"CAPN1",10,4,6,0,1
"CAPNS1",14,9,5,0,1
"CAPRIN1",11,10,1,0,1
"RPP14",6,5,1,0,1
"TRAF1",44,27,17,0,1
"CASK",31,17,14,0,1
"GRIK2",4,3,1,0,1
"PRKD2",20,16,4,0,1
"PLA2G4A",28,19,9,0,1
"DSP",12,11,1,0,1
"EIF2AK2",33,20,13,0,1
"IL16",18,13,5,0,1
"KRT18",31,20,11,0,1
"STK4",22,21,1,0,1
"TOP1",17,15,2,0,1
"CASP4",10,5,5,0,1
"RIPK1",17,12,5,0,1
"RNF19A",17,9,8,0,1
"SUMO4",16,4,12,0,1
"HRAS",48,24,24,0,1
"ILK",23,13,10,0,1
"RAC1",39,24,15,0,1
"RHOA",23,8,15,0,1
"RUNX3",64,7,57,0,1
"CD5",17,14,3,0,1
"INSR",47,20,27,0,1
"ITCH",14,11,3,0,1
"KHDRBS1",20,14,6,0,1
"SPRY2",17,13,4,0,1
"SORBS3",15,14,1,0,1
"CBX3",13,12,1,0,1
"TRIM28",18,15,3,0,1
"CTBP2",16,13,3,0,1
"MED9",13,7,6,0,1
"MCM10",16,8,8,0,1
"CCDC91",7,4,3,0,1
"CCR5",31,21,10,0,1
"MMP3",11,8,3,0,1
"CCL19",6,3,3,0,1
"CCR10",5,4,1,0,1
