"Name","K","Kin","Kout","TypeI","TypeII"
"HTT",68,52,16,0,1
"BCL2A1",6,4,2,0,1
"HSP90AA1",99,70,29,0,1
"IMMT",37,21,16,0,1
"LUC7L2",45,36,9,0,1
"IGSF21",17,11,6,0,1
"XRN1",51,45,6,0,1
"PTN",49,17,32,0,1
"CRMP1",47,22,25,0,1
"AMOTL2",38,36,2,0,1
"CLTC",93,78,15,0,1
"DNM1",27,19,8,0,1
"TEK",18,8,10,0,1
"ANK3",20,18,2,0,1
"HDAC4",47,42,5,0,1
"LRP2",29,13,16,0,1
"ANXA1",21,12,9,0,1
"COPS6",59,38,21,0,1
"TGM2",24,13,11,0,1
"UNC119",54,24,30,0,1
"ANXA11",30,27,3,0,1
"PLSCR1",61,36,25,0,1
"S100A6",5,4,1,0,1
"EED",39,35,4,0,1
"C14orf1",33,23,10,0,1
"VIM",105,73,32,0,1
"DVL2",31,20,11,0,1
"FXR2",36,24,12,0,1
"AP1S1",22,20,2,0,1
"AP2A1",30,22,8,0,1
"BIN1",19,13,6,0,1
"RIT1",12,10,2,0,1
"AP2M1",36,32,4,0,1
"MEGF10",11,8,3,0,1
"AP3B1",38,33,5,0,1
"ARF1",41,29,12,0,1
"XPOT",57,54,3,0,1
"TGOLN2",56,52,4,0,1
"CASP3",127,71,56,0,1
"HSPA1A",49,36,13,0,1
"APP",93,63,30,0,1
"APLP2",21,20,1,0,1
"SIAH1",29,26,3,0,1
"COL4A1",34,28,6,0,1
"HDAC1",73,56,17,0,1
"PCNA",82,71,11,0,1
"UBE2I",80,67,13,0,1
"CALCOCO2",37,30,7,0,1
"APLP1",22,15,7,0,1
"SETDB1",67,53,14,0,1
"APOA1",17,7,10,0,1
"TTR",11,7,4,0,1
"APOA2",2,1,1,0,1
"APOB",12,5,7,0,1
"KPNA2",77,72,5,0,1
"LRP1",55,39,16,0,1
"PLG",7,5,2,0,1
"COL4A2",36,30,6,0,1
"HSPG2",35,28,7,0,1
"PSEN2",20,12,8,0,1
"SHC1",79,48,31,0,1
"SNCA",31,16,15,0,1
"TP53BP2",40,35,5,0,1
"APPBP2",41,39,2,0,1
"PIK3CA",42,31,11,0,1
"APTX",19,16,3,0,1
"EFEMP2",24,18,6,0,1
"TRIP6",27,18,9,0,1
"AR",557,71,486,0,1
"CDC37",50,43,7,0,1
"CDK7",14,12,2,0,1
"CREBBP",267,94,173,0,1
"GTF2H1",29,22,7,0,1
"MED1",46,40,6,0,1
"NCOR2",94,56,38,0,1
"NFKB1",125,33,92,0,1
"NR5A1",13,7,6,0,1
"PIAS4",47,42,5,0,1
"POU2F1",110,96,14,0,1
"RNF4",33,32,1,0,1
"SMAD1",117,27,90,0,1
"SMAD3",163,53,110,0,1
"SP1",343,104,239,0,1
"SUMO1",68,61,7,0,1
"TRIM24",44,34,10,0,1
"ARIH2",22,20,2,0,1
"ARPC3",19,15,4,0,1
"PICK1",26,10,16,0,1
"HMGCR",28,27,1,0,1
"ITPR1",45,34,11,0,1
"PIK3R1",144,87,57,0,1
"PTPN11",101,53,48,0,1
"RASA1",81,53,28,0,1
"RHOA",59,39,20,0,1
"TUBA4A",31,18,13,0,1
"MAGEA11",9,6,3,0,1
"PTPN18",4,3,1,0,1
"SMURF2",71,48,23,0,1
"RBPMS",36,33,3,0,1
"EZR",29,21,8,0,1
"VAV1",47,31,16,0,1
"ARHGEF11",14,9,5,0,1
"GNA12",33,21,12,0,1
"GNA13",58,43,15,0,1
"MAP1B",87,77,10,0,1
"PLXNB3",6,1,5,0,1
"ARHGEF12",43,37,6,0,1
"CD44",28,13,15,0,1
"IGF1R",152,132,20,0,1
"ARHGEF7",24,16,8,0,1
"CBLB",44,34,10,0,1
"SMARCE1",22,15,7,0,1
"E2F1",501,54,447,0,1
"E2F2",98,83,15,0,1
"SIN3A",61,54,7,0,1
"UBE2L3",20,16,4,0,1
"CBR3",3,2,1,0,1
"GAPDH",69,48,21,0,1
"RPL8",16,12,4,0,1
"UBR1",35,22,13,0,1
"ARL4D",22,20,2,0,1
"ATP5J2",13,10,3,0,1
"WAS",28,13,15,0,1
"PRMT1",33,20,13,0,1
"RNF130",11,9,2,0,1
"BMPR2",84,70,14,0,1
"CD2AP",68,63,5,0,1
"CSNK2A2",46,29,17,0,1
"FLNA",72,53,19,0,1
"HIPK3",76,70,6,0,1
"MAPK1",157,127,30,0,1
"MED8",47,41,6,0,1
"PDE4D",40,39,1,0,1
"STC2",55,50,5,0,1
"HCK",55,36,19,0,1
